Genus,STD_RA,Microbiome,Reps,Combine,Bacteroides_start,764,A554,B57,HP301,LH60,NC262,PHG35,PHG39,PHG47
Bacteroides,2911,S1,1,S1-1,3902,-991,-1982,-2007,-1452,-2053,-2177,-1681,-2493,-1204
Bacteroides,2428,S1,2,S1-2,4096,-1668,-1887,-1461,-1772,-1879,-2323,-1751,-1900,-812
Bacteroides,1619,S12,2,S12-2,1036,583,1692,1805,1106,1651,2967,1503,890,3485
Bacteroides,5752,S12,1,S12-1,966,4786,2576,1656,855,1423,1293,2038,1413,408
Bacteroides,832,S14,1,S14-1,128,704,280,364,450,421,549,370,338,379
Bacteroides,415,S14,2,S14-2,87,328,98,89,402,348,172,358,254,310
Bacteroides,2376,S15,2,S15-2,3146,-770,-744,-854,-1066,-814,-1430,-943,-1009,-747
Bacteroides,2950,S15,1,S15-1,3437,-487,-1122,-1280,-1364,0,-1758,0,-1231,-772
Bacteroides,1032,S16,2,S16-2,1367,-335,-101,-65,-164,-30,32,-123,-296,-377
Bacteroides,876,S16,1,S16-1,1516,-640,-279,-178,-454,-306,-107,-399,-420,-666
Bacteroides,2415,S17,1,S17-1,4283,-1868,-1929,-763,-988,-658,-1253,-998,-1212,-907
Bacteroides,4525,S17,2,S17-2,4552,-27,-2570,-1466,-1872,-1281,-878,-954,-530,98
Bacteroides,5583,S18,1,S18-1,5074,509,161,-1049,-773,-482,-755,-786,-506,110
Bacteroides,4773,S18,2,S18-2,5075,-302,-608,-898,-796,-472,-369,-286,-939,342
Bacteroides,1842,S19,2,S19-2,1389,453,157,314,256,-171,176,261,125,364
Bacteroides,1211,S19,1,S19-1,1399,-188,27,316,248,100,59,-26,-6,-27
Bacteroides,2688,S2,1,S2-1,1787,901,705,546,1255,164,-180,575,172,1220
Bacteroides,2998,S2,2,S2-2,1872,1126,341,207,873,438,-424,346,125,1081
Bacteroides,1409,S20,2,S20-2,827,582,812,1189,1037,844,919,865,959,142
Bacteroides,1374,S20,1,S20-1,862,512,896,1114,1203,0,858,0,916,735
Bacteroides,5462,S21,2,S21-2,6430,-968,-1778,-1769,-1034,-1073,-1791,-849,-1423,-1279
Bacteroides,5465,S21,1,S21-1,6512,-1047,-1332,-2222,-1002,-1646,-1485,-666,-1541,-770
Bacteroides,3403,S22,1,S22-1,4772,-1369,-2407,-2661,-1064,-1035,-1922,-2417,-1172,-1953
Bacteroides,3869,S22,2,S22-2,4791,-922,-1482,-812,-2398,-1079,-1714,-1339,-1242,-911
Bacteroides,5940,S24,1,S24-1,4925,1015,-91,44,-49,350,-132,738,759,213
Bacteroides,5342,S24,2,S24-2,5283,59,-166,-731,-235,60,-762,-712,-838,-91
Bacteroides,2866,S3,2,S3-2,2281,585,-119,-709,129,-86,38,334,-322,1045
Bacteroides,3129,S3,1,S3-1,3244,-115,-825,-1152,-915,-1170,-637,-581,-797,-425
Bacteroides,3351,S4,1,S4-1,3126,225,-573,-318,-221,-514,-1047,-245,-383,54
Bacteroides,3065,S4,2,S4-2,2924,141,-272,-576,-212,-118,-209,-56,-273,176
Bacteroides,4432,S5,2,S5-2,3978,454,-451,-342,-1152,-558,-598,-475,-176,530
Bacteroides,4553,S5,1,S5-1,3731,822,356,180,670,-66,-207,-88,953,890
Bacteroides,4054,S6,2,S6-2,5240,-1186,-2134,-1886,-1258,-1875,-1715,-1478,-1819,303
Bacteroides,4907,S6,1,S6-1,5403,-496,-1111,-1279,-983,-1642,-2022,-504,-1841,1161
Bacteroides,2756,S7,1,S7-1,3568,-812,-1030,-1397,-1272,-1282,-1466,-821,-1096,-1535
Bacteroides,2100,S7,2,S7-2,3653,-1553,-1595,-1568,-1483,-1841,-1470,-1713,-1810,-966
Bacteroides,3597,S9,1,S9-1,5911,-2314,-3033,-3508,-2914,-2880,-2724,-2696,-2894,-2387
Bacteroides,3530,S9,2,S9-2,5682,-2152,-2543,-3062,-3182,-2823,-2824,-2855,-2921,-2407
Bifidobacterium,5,S1,1,S1-1,9,-4,-6,-5,-6,-9,-9,-4,-8,-4
Bifidobacterium,2,S1,2,S1-2,12,-10,-5,-6,-5,-7,-11,-6,-7,-6
Bifidobacterium,0,S12,2,S12-2,4,-4,-1,-3,-2,-4,-2,-4,-2,-2
Bifidobacterium,10,S12,1,S12-1,0,10,1,1,0,0,1,0,0,1
Bifidobacterium,7,S14,1,S14-1,0,7,5,6,0,4,3,1,9,27
Bifidobacterium,10,S14,2,S14-2,0,10,7,0,10,3,4,4,3,8
Bifidobacterium,1,S15,2,S15-2,5,-4,-3,-3,-5,-4,-2,-3,-3,-2
Bifidobacterium,3,S15,1,S15-1,0,3,5,9,2,0,0,0,0,2
Bifidobacterium,1,S16,2,S16-2,0,1,0,0,0,0,2,0,0,0
Bifidobacterium,2,S16,1,S16-1,1,1,0,-1,0,-1,-1,-1,-1,1
Bifidobacterium,0,S17,1,S17-1,4,-4,-2,-4,-2,-4,1,-3,-4,-1
Bifidobacterium,4,S17,2,S17-2,1,3,0,-1,-1,0,4,1,3,0
Bifidobacterium,7,S18,1,S18-1,4,3,0,1,-4,3,1,-3,-1,-4
Bifidobacterium,1,S18,2,S18-2,7,-6,-1,-6,-7,-7,-7,-4,-5,-2
Bifidobacterium,7,S19,2,S19-2,2,5,3,6,4,1,3,6,13,3
Bifidobacterium,8,S19,1,S19-1,9,-1,-5,-2,-4,-6,5,-6,-6,16
Bifidobacterium,12,S2,1,S2-1,19,-7,-15,-9,-12,-17,-14,-13,-14,-9
Bifidobacterium,7,S2,2,S2-2,24,-17,-21,-17,-20,-7,-18,-16,-22,6
Bifidobacterium,28,S20,2,S20-2,28,0,-6,34,4,8,7,7,22,2
Bifidobacterium,31,S20,1,S20-1,16,15,1,29,3,0,19,0,33,18
Bifidobacterium,0,S21,2,S21-2,2,-2,4,-1,-1,1,-2,-2,-1,1
Bifidobacterium,1,S21,1,S21-1,1,0,0,1,3,1,1,7,0,0
Bifidobacterium,2,S22,1,S22-1,1,1,0,1,2,-1,2,-1,0,2
Bifidobacterium,2,S22,2,S22-2,4,-2,-4,-4,-4,-4,-2,-4,-2,-2
Bifidobacterium,2,S24,1,S24-1,9,-7,-6,-9,-8,-5,-6,-5,-3,-5
Bifidobacterium,1,S24,2,S24-2,4,-3,-3,-1,-4,-4,-2,1,-2,4
Bifidobacterium,12,S3,2,S3-2,3,9,0,-2,-1,-2,-3,-3,-3,-1
Bifidobacterium,12,S3,1,S3-1,1,11,-1,-1,1,2,-1,-1,1,0
Bifidobacterium,0,S4,1,S4-1,0,0,1,0,0,0,0,0,0,0
Bifidobacterium,0,S4,2,S4-2,0,0,0,0,0,0,0,0,0,1
Bifidobacterium,3,S5,2,S5-2,1,2,0,-1,0,0,1,2,3,4
Bifidobacterium,4,S5,1,S5-1,0,4,4,3,0,4,3,2,6,6
Bifidobacterium,0,S6,2,S6-2,11,-11,-8,-11,-10,-8,-8,-10,-10,-6
Bifidobacterium,5,S6,1,S6-1,4,1,4,-2,66,-1,4,2,-1,16
Bifidobacterium,2,S7,1,S7-1,2,0,-2,3,0,-2,1,1,-2,1
Bifidobacterium,1,S7,2,S7-2,10,-9,-7,-9,-5,-8,-7,-9,-9,-9
Bifidobacterium,23,S9,1,S9-1,190,-167,-151,-163,-138,-156,-133,-156,-160,-149
Bifidobacterium,63,S9,2,S9-2,208,-145,-178,-173,-169,-162,-161,-166,-155,-160
