Sample_Name,Microbiome,Seed_Type,Reps,Microbiome_Seed,Bac_cutis,Bac_timonensis,Bac_kribbi,Bac_faecichinchillae,Bac_rodentium,Bac_caccae,Bac_ovatus,Bac_acidifaciens,Bac_xylanisolvens,Bac_fragilis,Bac_thetaiotaomicron,Bac_intestinalis,Bac_faecis,Bac_cellulosilyticus,Bac_clarus,Bac_plebeius,Bac_coprocola,Bac_stercoris,Bac_eggerthii,Bac_salyersiae,Bac_nordii,Bac_uniformis,Bac_paurosaccharolyticus,Bac_sartorii,Bac_massiliensis,Bac_vulgatus,Bac_dorei,Bac_caecimuris,Bac_cutis_log2,Bac_timonensis_log2,Bac_kribbi_log2,Bac_faecichinchillae_log2,Bac_rodentium_log2,Bac_caccae_log2,Bac_ovatus_log2,Bac_acidifaciens_log2,Bac_xylanisolvens_log2,Bac_fragilis_log2,Bac_thetaiotaomicron_log2,Bac_intestinalis_log2,Bac_faecis_log2,Bac_cellulosilyticus_log2,Bac_clarus_log2,Bac_plebeius_log2,Bac_coprocola_log2,Bac_stercoris_log2,Bac_eggerthii_log2,Bac_salyersiae_log2,Bac_nordii_log2,Bac_uniformis_log2,Bac_paurosaccharolyticus_log2,Bac_sartorii_log2,Bac_massiliensis_log2,Bac_vulgatus_log2,Bac_dorei_log2,Bac_caecimuris_log2
S12-764-2,S12,764,2,S12_764,0,0,0,1,0,81,192,2,0,0,100,0,0,6,0,0,0,447,0,0,0,20,0,0,193,545,0,0,0,0,0,1,0,6.357552005,7.592457037,1.584962501,0,0,6.658211483,0,0,2.807354922,0,0,0,8.807354922,0,0,0,4.392317423,0,0,7.599912842,9.092757141,0,0
S3-764-2,S3,764,2,S3_764,0,0,14,0,0,25,1840,11,0,0,41,0,0,87,0,0,1,155,0,1,9,130,0,0,63,440,0,1,0,0,3.906890596,0,0,4.700439718,10.84627391,3.584962501,0,0,5.392317423,0,0,6.459431619,0,0,1,7.285402219,0,1,3.321928095,7.033423002,0,0,6,8.784634846,0,1
S6-764-2,S6,764,2,S6_764,0,0,12,0,0,0,1973,2,0,171,258,94,0,16,0,0,0,9,67,6,1,157,0,0,3,1102,140,0,0,0,3.700439718,0,0,0,10.94690627,1.584962501,0,7.426264755,8.016808288,6.569855608,0,4.087462841,0,0,0,3.321928095,6.087462841,2.807354922,1,7.303780748,0,0,2,10.10721708,7.139551352,0
S15-764-2,S15,764,2,S15_764,0,0,6,0,0,0,509,4,0,1,36,0,0,92,0,1,0,847,1,0,0,191,0,0,265,265,61,0,0,0,2.807354922,0,0,0,8.994353437,2.321928095,0,1,5.209453366,0,0,6.539158811,0,1,0,9.727920455,1,0,0,7.584962501,0,0,8.055282436,8.055282436,5.95419631,0
S9-764-1,S9,764,1,S9_764,0,1,0,0,0,46,1240,0,0,1,35,0,0,1,0,46,81,316,318,0,0,91,0,0,46,1231,1,0,0,1,0,0,0,5.554588852,10.2772874,0,0,1,5.169925001,0,0,1,0,5.554588852,6.357552005,8.30833903,8.317412614,0,0,6.523561956,0,0,5.554588852,10.26678654,1,0
S2-764-1,S2,764,1,S2_764,0,0,1,0,0,167,1305,11,0,0,2,0,0,40,0,0,0,1,0,2,62,383,0,0,0,11,583,0,0,0,1,0,0,7.392317423,10.35093918,3.584962501,0,0,1.584962501,0,0,5.357552005,0,0,0,1,0,1.584962501,5.977279923,8.584962501,0,0,0,3.584962501,9.189824559,0
S18-764-1,S18,764,1,S18_764,0,0,1,0,0,0,760,4,0,163,250,2,0,3,0,0,0,3,1949,0,0,521,0,0,3,29,1612,0,0,0,1,0,0,0,9.571752644,2.321928095,0,7.357552005,7.971543554,1.584962501,0,2,0,0,0,2,10.92925841,0,0,9.027905997,0,0,2,4.906890596,10.65553072,0
S19-764-2,S19,764,2,S19_764,0,0,1,0,0,35,593,1,0,0,48,0,0,154,0,2,1,170,0,6,0,195,0,0,163,406,13,0,0,0,1,0,0,5.169925001,9.214319121,1,0,0,5.614709844,0,0,7.276124405,0,1.584962501,1,7.417852515,0,2.807354922,0,7.614709844,0,0,7.357552005,8.668884984,3.807354922,0
S12-764-1,S12,764,1,S12_764,0,0,4,0,0,527,988,2,0,0,378,0,0,0,0,0,0,952,0,0,0,77,0,0,429,2265,4,0,0,0,2.321928095,0,0,9.044394119,9.949826711,1.584962501,0,0,8.566054038,0,0,0,0,0,0,9.896332404,0,0,0,6.285402219,0,0,8.74819285,11.14593215,2.321928095,0
S22-764-1,S22,764,1,S22_764,5,0,4,0,0,79,925,3,1,2,1,0,0,1,0,0,0,1,0,0,0,941,0,0,0,1377,3,0,2.584962501,0,2.321928095,0,0,6.321928095,9.854868383,2,1,1.584962501,1,0,0,1,0,0,0,1,0,0,0,9.87958325,0,0,0,10.42836017,2,0
S16-764-2,S16,764,2,S16_764,0,0,0,0,0,0,181,0,0,1,99,0,0,42,0,0,0,9,0,1,10,42,0,0,241,386,3,0,0,0,0,0,0,0,7.50779464,0,0,1,6.64385619,0,0,5.426264755,0,0,0,3.321928095,0,1,3.459431619,5.426264755,0,0,7.918863237,8.596189756,2,0
S24-764-1,S24,764,1,S24_764,0,0,3,0,0,4,2268,4,2,0,86,0,0,75,0,0,1,3,0,0,0,411,0,0,595,2244,3,0,0,0,2,0,0,2.321928095,11.14784089,2.321928095,1.584962501,0,6.442943496,0,0,6.247927513,0,0,1,2,0,0,0,8.686500527,0,0,9.21916852,11.13249973,2,0
S14-764-1,S14,764,1,S14_764,0,0,2,0,0,1,47,1,0,0,6,0,0,4,0,0,0,2,1,0,0,4,0,0,1,415,331,0,0,0,1.584962501,0,0,1,5.584962501,1,0,0,2.807354922,0,0,2.321928095,0,0,0,1.584962501,1,0,0,2.321928095,0,0,1,8.700439718,8.375039431,0
S7-764-1,S7,764,1,S7_764,0,0,3,0,0,0,1360,0,0,99,324,0,0,0,0,0,0,0,0,0,0,523,0,0,2,20,392,0,0,0,2,0,0,0,10.41045135,0,0,6.64385619,8.344295908,0,0,0,0,0,0,0,0,0,0,9.033423002,0,0,1.584962501,4.392317423,8.618385502,0
S4-764-1,S4,764,1,S4_764,0,0,3,0,0,3,91,1228,0,0,107,0,0,255,0,0,2,478,0,0,42,133,0,1,1,854,3,0,0,0,2,0,0,2,6.523561956,10.2632692,0,0,6.754887502,0,0,8,0,0,1.584962501,8.903881846,0,0,5.426264755,7.06608919,0,1,1,9.73978061,2,0
S9-764-2,S9,764,2,S9_764,0,0,1,0,0,32,1269,0,0,0,16,1,0,0,1,17,11,380,271,0,0,153,0,0,47,1218,4,0,0,0,1,0,0,5.044394119,10.31061278,0,0,0,4.087462841,1,0,0,1,4.169925001,3.584962501,8.573647187,8.087462841,0,0,7.266786541,0,0,5.584962501,10.25148241,2.321928095,0
S3-764-1,S3,764,1,S3_764,0,0,6,0,0,29,1905,15,0,0,55,0,0,159,0,0,0,155,1,0,6,207,0,0,91,463,1,0,0,0,2.807354922,0,0,4.906890596,10.8963324,4,0,0,5.807354922,0,0,7.321928095,0,0,0,7.285402219,1,0,2.807354922,7.700439718,0,0,6.523561956,8.857980995,1,0
S15-764-1,S15,764,1,S15_764,0,0,3,0,0,0,516,0,0,0,40,0,0,173,0,29,0,954,1,0,1,319,0,0,374,346,76,0,0,0,2,0,0,0,9.01402047,0,0,0,5.357552005,0,0,7.442943496,0,4.906890596,0,9.899356923,1,0,1,8.321928095,0,0,8.550746785,8.438791853,6.266786541,0
S5-764-2,S5,764,2,S5_764,1,9,1,11,0,2,74,2,0,137,576,0,0,2037,71,0,0,4,0,1,72,302,0,0,0,1072,4,0,1,3.321928095,1,3.584962501,0,1.584962501,6.22881869,1.584962501,0,7.108524457,9.172427509,0,0,10.99293834,6.169925001,0,0,2.321928095,0,1,6.189824559,8.243173983,0,0,0,10.06743436,2.321928095,0
S21-764-2,S21,764,2,S21_764,0,0,12,4,0,0,3243,61,0,0,211,0,0,3,0,0,0,0,0,121,0,663,0,0,0,934,3,0,0,0,3.700439718,2.321928095,0,0,11.6635581,5.95419631,0,0,7.727920455,0,0,2,0,0,0,0,0,6.930737338,0,9.375039431,0,0,0,9.868822555,2,0
S22-764-2,S22,764,2,S22_764,3,0,4,0,0,83,1236,2,0,5,2,0,0,1,0,0,0,0,0,0,0,939,0,0,0,1513,4,0,2,0,2.321928095,0,0,6.392317423,10.27262978,1.584962501,0,2.584962501,1.584962501,0,0,1,0,0,0,0,0,0,0,9.876516947,0,0,0,10.56414949,2.321928095,0
S4-764-2,S4,764,2,S4_764,0,0,3,0,0,0,110,1019,0,0,90,0,0,351,0,0,0,405,1,0,18,187,0,5,1,731,2,3,0,0,2,0,0,0,6.794415866,9.994353437,0,0,6.50779464,0,0,8.459431619,0,0,0,8.665335917,1,0,4.247927513,7.554588852,0,2.584962501,1,9.515699838,1.584962501,2
S17-764-1,S17,764,1,S17_764,0,0,13,0,0,0,960,3,0,0,3,0,0,3,9,0,0,2,0,0,0,3,0,0,0,1203,173,0,0,0,3.807354922,0,0,0,9.908392621,2,0,0,2,0,0,2,3.321928095,0,0,1.584962501,0,0,0,2,0,0,0,10.23361968,7.442943496,0
S14-764-2,S14,764,2,S14_764,0,0,0,0,0,0,29,2,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,217,152,0,0,0,0,0,0,0,4.906890596,1.584962501,0,0,1,0,0,0,0,0,0,0,0,0,0,3.169925001,0,0,0,7.768184325,7.257387843,0
S20-764-2,S20,764,2,S20_764,0,0,0,0,0,33,154,2,0,9,139,0,0,441,0,0,0,0,0,0,15,227,0,0,1,372,1,0,0,0,0,0,0,5.087462841,7.276124405,1.584962501,0,3.321928095,7.129283017,0,0,8.787902559,0,0,0,0,0,0,4,7.832890014,0,0,1,8.54303182,1,0
S24-764-2,S24,764,2,S24_764,0,0,1,0,0,9,1690,1,1,0,84,0,0,187,0,1,0,5,0,0,0,414,0,0,714,2068,1,2,0,0,1,0,0,3.321928095,10.72366094,1,1,0,6.409390936,0,0,7.554588852,0,1,0,2.584962501,0,0,0,8.696967526,0,0,9.481799432,11.01471793,1,1.584962501
