"","Microbiome_Seed","mean_bacteroides","na.rm"
"1","S12_764",3685.5,TRUE
"2","S12_A554",3135,TRUE
"3","S12_B57",2731.5,TRUE
"4","S12_FBB0",1001,TRUE
"5","S12_HP301",1981.5,TRUE
"6","S12_LH60",2538,TRUE
"7","S12_NC262",3131,TRUE
"8","S12_PHG35",2771.5,TRUE
"9","S12_PHG39",2152.5,TRUE
"10","S12_PHG47",2947.5,TRUE
"11","S14_764",623.5,TRUE
"12","S14_A554",296.5,TRUE
"13","S14_B57",334,TRUE
"14","S14_FBB0",107.5,TRUE
"15","S14_HP301",533.5,TRUE
"16","S14_LH60",492,TRUE
"17","S14_NC262",468,TRUE
"18","S14_PHG35",471.5,TRUE
"19","S14_PHG39",403.5,TRUE
"20","S14_PHG47",452,TRUE
"21","S15_764",2663,TRUE
"22","S15_A554",2358.5,TRUE
"23","S15_B57",2224.5,TRUE
"24","S15_FBB0",3291.5,TRUE
"25","S15_HP301",2076.5,TRUE
"26","S15_LH60",2332,TRUE
"27","S15_NC262",1697.5,TRUE
"28","S15_PHG35",2203,TRUE
"29","S15_PHG39",2171.5,TRUE
"30","S15_PHG47",2532,TRUE
"31","S16_764",954,TRUE
"32","S16_A554",1251.5,TRUE
"33","S16_B57",1320,TRUE
"34","S16_FBB0",1441.5,TRUE
"35","S16_HP301",1132.5,TRUE
"36","S16_LH60",1273.5,TRUE
"37","S16_NC262",1404,TRUE
"38","S16_PHG35",1180.5,TRUE
"39","S16_PHG39",1083.5,TRUE
"40","S16_PHG47",920,TRUE
"41","S17_764",3470,TRUE
"42","S17_A554",2168,TRUE
"43","S17_B57",3303,TRUE
"44","S17_FBB0",4417.5,TRUE
"45","S17_HP301",2987.5,TRUE
"46","S17_LH60",3448,TRUE
"47","S17_NC262",3352,TRUE
"48","S17_PHG35",3441.5,TRUE
"49","S17_PHG39",3546.5,TRUE
"50","S17_PHG47",4013,TRUE
"51","S18_764",5178,TRUE
"52","S18_A554",4851,TRUE
"53","S18_B57",4101,TRUE
"54","S18_FBB0",5074.5,TRUE
"55","S18_HP301",4290,TRUE
"56","S18_LH60",4597.5,TRUE
"57","S18_NC262",4512.5,TRUE
"58","S18_PHG35",4538.5,TRUE
"59","S18_PHG39",4352,TRUE
"60","S18_PHG47",5300.5,TRUE
"61","S19_764",1526.5,TRUE
"62","S19_A554",1486,TRUE
"63","S19_B57",1709,TRUE
"64","S19_FBB0",1394,TRUE
"65","S19_HP301",1646,TRUE
"66","S19_LH60",1358.5,TRUE
"67","S19_NC262",1511.5,TRUE
"68","S19_PHG35",1511.5,TRUE
"69","S19_PHG39",1453.5,TRUE
"70","S19_PHG47",1562.5,TRUE
"71","S1_764",2669.5,TRUE
"72","S1_A554",2064.5,TRUE
