"","Bacteroides","Sample_Name","Microbiome","Reps","Combine","Bacteroides_start","764","A554","B57","HP301","LH60","NC262","PHG35","PHG39","PHG47"
"1",1619,"S12-764-2","S12",2,"S12-2",1036,583,1692,1805,1106,1651,2967,1503,890,3485
"2",2866,"S3-764-2","S3",2,"S3-2",2281,585,-119,-709,129,-86,38,334,-322,1045
"3",4054,"S6-764-2","S6",2,"S6-2",5240,-1186,-2134,-1886,-1258,-1875,-1715,-1478,-1819,303
"4",2376,"S15-764-2","S15",2,"S15-2",3146,-770,-744,-854,-1066,-814,-1430,-943,-1009,-747
"5",3597,"S9-764-1","S9",1,"S9-1",5911,-2314,-3033,-3508,-2914,-2880,-2724,-2696,-2894,-2387
"6",2688,"S2-764-1","S2",1,"S2-1",1787,901,705,546,1255,164,-180,575,172,1220
"7",5583,"S18-764-1","S18",1,"S18-1",5074,509,161,-1049,-773,-482,-755,-786,-506,110
"8",1842,"S19-764-2","S19",2,"S19-2",1389,453,157,314,256,-171,176,261,125,364
"9",5752,"S12-764-1","S12",1,"S12-1",966,4786,2576,1656,855,1423,1293,2038,1413,408
"10",3403,"S22-764-1","S22",1,"S22-1",4772,-1369,-2407,-2661,-1064,-1035,-1922,-2417,-1172,-1953
"11",1032,"S16-764-2","S16",2,"S16-2",1367,-335,-101,-65,-164,-30,32,-123,-296,-377
"12",5940,"S24-764-1","S24",1,"S24-1",4925,1015,-91,44,-49,350,-132,738,759,213
"13",832,"S14-764-1","S14",1,"S14-1",128,704,280,364,450,421,549,370,338,379
"14",2756,"S7-764-1","S7",1,"S7-1",3568,-812,-1030,-1397,-1272,-1282,-1466,-821,-1096,-1535
"15",3351,"S4-764-1","S4",1,"S4-1",3126,225,-573,-318,-221,-514,-1047,-245,-383,54
"16",3530,"S9-764-2","S9",2,"S9-2",5682,-2152,-2543,-3062,-3182,-2823,-2824,-2855,-2921,-2407
"17",3129,"S3-764-1","S3",1,"S3-1",3244,-115,-825,-1152,-915,-1170,-637,-581,-797,-425
"18",2950,"S15-764-1","S15",1,"S15-1",3437,-487,-1122,-1280,-1364,0,-1758,0,-1231,-772
"19",4432,"S5-764-2","S5",2,"S5-2",3978,454,-451,-342,-1152,-558,-598,-475,-176,530
"20",5462,"S21-764-2","S21",2,"S21-2",6430,-968,-1778,-1769,-1034,-1073,-1791,-849,-1423,-1279
"21",3869,"S22-764-2","S22",2,"S22-2",4791,-922,-1482,-812,-2398,-1079,-1714,-1339,-1242,-911
"22",3065,"S4-764-2","S4",2,"S4-2",2924,141,-272,-576,-212,-118,-209,-56,-273,176
"23",2415,"S17-764-1","S17",1,"S17-1",4283,-1868,-1929,-763,-988,-658,-1253,-998,-1212,-907
"24",415,"S14-764-2","S14",2,"S14-2",87,328,98,89,402,348,172,358,254,310
"25",1409,"S20-764-2","S20",2,"S20-2",827,582,812,1189,1037,844,919,865,959,142
"26",5342,"S24-764-2","S24",2,"S24-2",5283,59,-166,-731,-235,60,-762,-712,-838,-91
"27",4773,"S18-764-2","S18",2,"S18-2",5075,-302,-608,-898,-796,-472,-369,-286,-939,342
"28",2911,"S1-764-1","S1",1,"S1-1",3902,-991,-1982,-2007,-1452,-2053,-2177,-1681,-2493,-1204
"29",1374,"S20-764-1","S20",1,"S20-1",862,512,896,1114,1203,0,858,0,916,735
"30",4553,"S5-764-1","S5",1,"S5-1",3731,822,356,180,670,-66,-207,-88,953,890
"31",2428,"S1-764-2","S1",2,"S1-2",4096,-1668,-1887,-1461,-1772,-1879,-2323,-1751,-1900,-812
"32",1211,"S19-764-1","S19",1,"S19-1",1399,-188,27,316,248,100,59,-26,-6,-27
"33",876,"S16-764-1","S16",1,"S16-1",1516,-640,-279,-178,-454,-306,-107,-399,-420,-666
"34",4907,"S6-764-1","S6",1,"S6-1",5403,-496,-1111,-1279,-983,-1642,-2022,-504,-1841,1161
"35",2998,"S2-764-2","S2",2,"S2-2",1872,1126,341,207,873,438,-424,346,125,1081
"36",5465,"S21-764-1","S21",1,"S21-1",6512,-1047,-1332,-2222,-1002,-1646,-1485,-666,-1541,-770
"37",4525,"S17-764-2","S17",2,"S17-2",4552,-27,-2570,-1466,-1872,-1281,-878,-954,-530,98
"38",2100,"S7-764-2","S7",2,"S7-2",3653,-1553,-1595,-1568,-1483,-1841,-1470,-1713,-1810,-966
