Sample_Name,B.caccae,B.ovatus,B.acidifaciens,B.fragilis,B.thetaiotaomicron,B.cellulosilyticus,B.stercoris,B.eggerthii,B.uniformis,B.massiliensis,B.vulgatus,B.dorei,Microbiome,Seed_Type,Reps
S12-764-2,81,171,0,0,100,6,426,0,17,190,506,0,S12,764,2
S3-764-2,25,109,1,0,40,79,144,0,0,63,416,0,S3,764,2
S6-764-2,0,9,2,171,257,16,3,43,82,3,908,135,S6,764,2
S15-764-2,0,87,1,1,36,87,458,0,131,260,243,57,S15,764,2
S9-764-1,46,1158,0,1,30,1,297,222,30,46,1131,0,S9,764,1
S2-764-1,167,1191,3,0,2,40,1,0,68,0,9,565,S2,764,1
S18-764-1,0,3,1,163,249,3,2,1754,24,3,26,1454,S18,764,1
S19-764-2,35,85,0,0,48,145,164,0,80,163,381,13,S19,764,2
S12-764-1,527,900,0,0,376,0,903,0,42,419,2137,4,S12,764,1
S22-764-1,79,769,0,2,1,1,0,0,670,0,1298,2,S22,764,1
S16-764-2,0,60,0,1,97,37,8,0,8,239,363,3,S16,764,2
S24-764-1,4,2093,0,0,86,71,3,0,272,575,1846,3,S24,764,1
S14-764-1,1,23,1,0,6,4,1,0,4,1,384,310,S14,764,1
S7-764-1,0,147,0,99,323,0,0,0,401,2,19,378,S7,764,1
S4-764-1,3,2,1170,0,93,216,429,0,91,0,780,3,S4,764,1
S9-764-2,32,1202,0,0,14,0,360,176,72,44,1138,4,S9,764,2
S3-764-1,29,174,6,0,55,153,150,1,0,87,426,1,S3,764,1
S15-764-1,0,66,0,0,40,164,525,1,248,370,322,74,S15,764,1
S5-764-2,2,12,2,135,570,1924,4,0,53,0,1010,4,S5,764,2
S21-764-2,0,3054,1,0,211,3,0,0,4,0,889,2,S21,764,2
S22-764-2,83,1011,1,5,2,1,0,0,686,0,1420,4,S22,764,2
S4-764-2,0,2,968,0,79,321,369,1,130,1,649,2,S4,764,2
S17-764-1,0,148,3,0,3,3,2,0,3,0,1124,167,S17,764,1
S14-764-2,0,8,2,0,1,0,0,0,7,0,199,146,S14,764,2
S20-764-2,33,3,2,9,136,416,0,0,78,1,359,1,S20,764,2
S24-764-2,9,1543,0,0,84,179,5,0,275,689,1691,1,S24,764,2
S18-764-2,0,7,0,163,355,2,3,1420,11,0,15,1151,S18,764,2
S1-764-1,14,60,1,0,91,425,875,7,0,84,458,0,S1,764,1
S20-764-1,48,1,0,23,174,223,2,2,68,0,371,0,S20,764,1
S5-764-1,1,2,0,129,509,2305,6,0,74,0,912,0,S5,764,1
S1-764-2,10,50,0,0,51,333,799,8,1,90,516,2,S1,764,2
S19-764-1,16,47,3,0,37,128,62,0,79,137,285,3,S19,764,1
S16-764-1,0,44,4,0,73,24,16,0,12,219,315,1,S16,764,1
S6-764-1,1,33,3,207,378,19,3,73,97,0,975,130,S6,764,1
