Sample_Name,Microbiome,Seed_Type,Reps,Microbiome_Seed,Bif_adolescentis,Bif_breve,Bif_gallicum,Bif_catenulatum,Bif_bifidum,Bif_adolescentis_log2,Bif_breve_log2,Bif_gallicum_log2,Bif_catenulatum_log2,Bif_bifidum_log2
S1-764-1,S1,764,1,S1_764,3,0,0,0,0,2,0,0,0,0
S1-764-2,S1,764,2,S1_764,1,1,0,0,0,1,1,0,0,0
S1-A554-1,S1,A554,1,S1_A554,3,0,0,0,0,2,0,0,0,0
S1-A554-2,S1,A554,2,S1_A554,6,1,0,0,0,2.807354922,1,0,0,0
S1-B57-1,S1,B57,1,S1_B57,3,0,0,0,1,2,0,0,0,1
S1-B57-2,S1,B57,2,S1_B57,5,0,0,1,0,2.584962501,0,0,1,0
S1-FBB0-1,S1,FBB0,1,S1_FBB0,9,0,0,0,0,3.321928095,0,0,0,0
S1-FBB0-2,S1,FBB0,2,S1_FBB0,6,3,0,0,3,2.807354922,2,0,0,2
S1-HP301-1,S1,HP301,1,S1_HP301,2,0,0,0,0,1.584962501,0,0,0,0
S1-HP301-2,S1,HP301,2,S1_HP301,5,0,0,0,2,2.584962501,0,0,0,1.584962501
S1-LH60-1,S1,LH60,1,S1_LH60,0,0,0,0,0,0,0,0,0,0
S1-LH60-2,S1,LH60,2,S1_LH60,3,0,0,1,0,2,0,0,1,0
S1-NC262-1,S1,NC262,1,S1_NC262,0,0,0,0,0,0,0,0,0,0
S1-NC262-2,S1,NC262,2,S1_NC262,0,0,0,0,0,0,0,0,0,0
S1-PHG35-1,S1,PHG35,1,S1_PHG35,5,0,0,0,0,2.584962501,0,0,0,0
S1-PHG35-2,S1,PHG35,2,S1_PHG35,4,2,0,0,0,2.321928095,1.584962501,0,0,0
S1-PHG39-1,S1,PHG39,1,S1_PHG39,1,0,0,0,0,1,0,0,0,0
S1-PHG39-2,S1,PHG39,2,S1_PHG39,4,0,0,0,0,2.321928095,0,0,0,0
S1-PHG47-1,S1,PHG47,1,S1_PHG47,3,0,0,0,0,2,0,0,0,0
S1-PHG47-2,S1,PHG47,2,S1_PHG47,0,3,0,2,1,0,2,0,1.584962501,1
S12-764-2,S12,764,2,S12_764,0,0,0,0,0,0,0,0,0,0
S12-764-1,S12,764,1,S12_764,0,10,0,0,0,0,3.459431619,0,0,0
S12-A554-2,S12,A554,2,S12_A554,0,3,0,0,0,0,2,0,0,0
S12-A554-1,S12,A554,1,S12_A554,0,1,0,0,0,0,1,0,0,0
S12-B57-2,S12,B57,2,S12_B57,0,1,0,0,0,0,1,0,0,0
S12-B57-1,S12,B57,1,S12_B57,0,0,0,0,0,0,0,0,0,0
S12-FBB0-2,S12,FBB0,2,S12_FBB0,0,4,0,0,0,0,2.321928095,0,0,0
S12-FBB0-1,S12,FBB0,1,S12_FBB0,0,0,0,0,0,0,0,0,0,0
S12-HP301-2,S12,HP301,2,S12_HP301,0,2,0,0,0,0,1.584962501,0,0,0
S12-HP301-1,S12,HP301,1,S12_HP301,0,0,0,0,0,0,0,0,0,0
S12-LH60-2,S12,LH60,2,S12_LH60,0,0,0,0,0,0,0,0,0,0
S12-LH60-1,S12,LH60,1,S12_LH60,0,0,0,0,0,0,0,0,0,0
S12-NC262-2,S12,NC262,2,S12_NC262,0,2,0,0,0,0,1.584962501,0,0,0
S12-NC262-1,S12,NC262,1,S12_NC262,0,1,0,0,0,0,1,0,0,0
S12-PHG35-2,S12,PHG35,2,S12_PHG35,0,0,0,0,0,0,0,0,0,0
S12-PHG35-1,S12,PHG35,1,S12_PHG35,0,0,0,0,0,0,0,0,0,0
S12-PHG39-2,S12,PHG39,2,S12_PHG39,0,1,0,0,0,0,1,0,0,0
S12-PHG39-1,S12,PHG39,1,S12_PHG39,0,0,0,0,0,0,0,0,0,0
S12-PHG47-2,S12,PHG47,2,S12_PHG47,0,2,0,0,0,0,1.584962501,0,0,0
S12-PHG47-1,S12,PHG47,1,S12_PHG47,0,1,0,0,0,0,1,0,0,0
S14-764-1,S14,764,1,S14_764,2,0,3,2,0,1.584962501,0,2,1.584962501,0
S14-764-2,S14,764,2,S14_764,7,1,2,0,0,3,1,1.584962501,0,0
S14-A554-1,S14,A554,1,S14_A554,0,0,0,5,0,0,0,0,2.584962501,0
S14-A554-2,S14,A554,2,S14_A554,2,0,0,4,0,1.584962501,0,0,2.321928095,0
S14-B57-1,S14,B57,1,S14_B57,5,0,0,1,0,2.584962501,0,0,1,0
S14-B57-2,S14,B57,2,S14_B57,0,0,0,0,0,0,0,0,0,0
S14-FBB0-1,S14,FBB0,1,S14_FBB0,0,0,0,0,0,0,0,0,0,0
S14-FBB0-2,S14,FBB0,2,S14_FBB0,0,0,0,0,0,0,0,0,0,0
S14-HP301-1,S14,HP301,1,S14_HP301,0,0,0,0,0,0,0,0,0,0
S14-HP301-2,S14,HP301,2,S14_HP301,4,3,0,3,0,2.321928095,2,0,2,0
S14-LH60-1,S14,LH60,1,S14_LH60,0,3,0,1,0,0,2,0,1,0
S14-LH60-2,S14,LH60,2,S14_LH60,0,0,2,0,0,0,0,1.584962501,0,0
S14-NC262-1,S14,NC262,1,S14_NC262,1,1,0,1,0,1,1,0,1,0
S14-NC262-2,S14,NC262,2,S14_NC262,2,0,0,2,0,1.584962501,0,0,1.584962501,0
S14-PHG35-1,S14,PHG35,1,S14_PHG35,0,0,0,1,0,0,0,0,1,0
S14-PHG35-2,S14,PHG35,2,S14_PHG35,0,0,0,1,0,0,0,0,1,0
S14-PHG39-1,S14,PHG39,1,S14_PHG39,0,0,0,6,0,0,0,0,2.807354922,0
S14-PHG39-2,S14,PHG39,2,S14_PHG39,2,0,1,0,0,1.584962501,0,1,0,0
S14-PHG47-1,S14,PHG47,1,S14_PHG47,7,3,2,11,0,3,2,1.584962501,3.584962501,0
S14-PHG47-2,S14,PHG47,2,S14_PHG47,5,0,0,3,0,2.584962501,0,0,2,0
S15-764-2,S15,764,2,S15_764,0,0,0,0,0,0,0,0,0,0
S15-764-1,S15,764,1,S15_764,0,0,0,3,0,0,0,0,2,0
S15-A554-2,S15,A554,2,S15_A554,0,0,0,2,0,0,0,0,1.584962501,0
S15-A554-1,S15,A554,1,S15_A554,0,0,0,5,0,0,0,0,2.584962501,0
S15-B57-2,S15,B57,2,S15_B57,0,0,0,2,0,0,0,0,1.584962501,0
S15-B57-1,S15,B57,1,S15_B57,0,0,0,9,0,0,0,0,3.321928095,0
S15-FBB0-2,S15,FBB0,2,S15_FBB0,0,0,0,4,0,0,0,0,2.321928095,0
S15-FBB0-1,S15,FBB0,1,S15_FBB0,0,0,0,0,0,0,0,0,0,0
S15-HP301-2,S15,HP301,2,S15_HP301,0,0,0,0,0,0,0,0,0,0
S15-HP301-1,S15,HP301,1,S15_HP301,0,0,0,2,0,0,0,0,1.584962501,0
