"","Microbiome_Seed","mean_bifidobacterium"
"1","S12_764",5
"2","S12_A554",2
"3","S12_B57",1
"4","S12_FBB0",2
"5","S12_HP301",1
"6","S12_LH60",0
"7","S12_NC262",1.5
"8","S12_PHG35",0
"9","S12_PHG39",1
"10","S12_PHG47",1.5
"11","S14_764",8.5
"12","S14_A554",6
"13","S14_B57",3
"14","S14_FBB0",0
"15","S14_HP301",5
"16","S14_LH60",3.5
"17","S14_NC262",3.5
"18","S14_PHG35",2.5
"19","S14_PHG39",6
"20","S14_PHG47",17.5
"21","S15_764",2
"22","S15_A554",3.5
"23","S15_B57",5.5
"24","S15_FBB0",2.5
"25","S15_HP301",1
"26","S15_LH60",1
"27","S15_NC262",1.5
"28","S15_PHG35",2
"29","S15_PHG39",1
"30","S15_PHG47",2.5
"31","S16_764",1.5
"32","S16_A554",0.5
"33","S16_B57",0
"34","S16_FBB0",0.5
"35","S16_HP301",0.5
"36","S16_LH60",0
"37","S16_NC262",1
"38","S16_PHG35",0
"39","S16_PHG39",0
"40","S16_PHG47",1
"41","S17_764",2
"42","S17_A554",1.5
"43","S17_B57",0
"44","S17_FBB0",2.5
"45","S17_HP301",1
"46","S17_LH60",0.5
"47","S17_NC262",5
"48","S17_PHG35",1.5
"49","S17_PHG39",2
"50","S17_PHG47",2
"51","S18_764",4
"52","S18_A554",5
"53","S18_B57",3
"54","S18_FBB0",5.5
"55","S18_HP301",0
"56","S18_LH60",3.5
"57","S18_NC262",2.5
"58","S18_PHG35",2
"59","S18_PHG39",2.5
"60","S18_PHG47",2.5
"61","S19_764",7.5
"62","S19_A554",4.5
"63","S19_B57",7.5
"64","S19_FBB0",5.5
"65","S19_HP301",5.5
"66","S19_LH60",3
"67","S19_NC262",9.5
"68","S19_PHG35",5.5
"69","S19_PHG39",9
"70","S19_PHG47",15
"71","S1_764",3.5
"72","S1_A554",5
"73","S1_B57",5
"74","S1_FBB0",10.5
"75","S1_HP301",5
"76","S1_LH60",2.5
"77","S1_NC262",0.5
"78","S1_PHG35",5.5
"79","S1_PHG39",3
"80","S1_PHG47",5.5
"81","S20_764",29.5
"82","S20_A554",19.5
"83","S20_B57",53.5
"84","S20_FBB0",22
"85","S20_HP301",25.5
"86","S20_LH60",36
"87","S20_NC262",35
"88","S20_PHG35",35
"89","S20_PHG39",49.5
"90","S20_PHG47",32
"91","S21_764",0.5
"92","S21_A554",3.5
"93","S21_B57",1.5
"94","S21_FBB0",1.5
"95","S21_HP301",2.5
"96","S21_LH60",2.5
"97","S21_NC262",1
"98","S21_PHG35",4
"99","S21_PHG39",1
"100","S21_PHG47",2
"101","S22_764",2
"102","S22_A554",0.5
"103","S22_B57",1
"104","S22_FBB0",2.5
"105","S22_HP301",1.5
"106","S22_LH60",0
"107","S22_NC262",2.5
"108","S22_PHG35",0
"109","S22_PHG39",1.5
"110","S22_PHG47",2.5
"111","S24_764",1.5
"112","S24_A554",2
"113","S24_B57",1.5
"114","S24_FBB0",6.5
"115","S24_HP301",0.5
"116","S24_LH60",2
"117","S24_NC262",2.5
"118","S24_PHG35",4.5
"119","S24_PHG39",4
"120","S24_PHG47",6
"121","S2_764",9.5
"122","S2_A554",3.5
"123","S2_B57",8.5
"124","S2_FBB0",21.5
"125","S2_HP301",5.5
"126","S2_LH60",9.5
"127","S2_NC262",5.5
"128","S2_PHG35",7
"129","S2_PHG39",3.5
"130","S2_PHG47",20
"131","S3_764",12
"132","S3_A554",1.5
"133","S3_B57",0.5
"134","S3_FBB0",2
"135","S3_HP301",2
"136","S3_LH60",2
"137","S3_NC262",0
"138","S3_PHG35",0
"139","S3_PHG39",1
"140","S3_PHG47",1.5
"141","S4_764",0
"142","S4_A554",0.5
"143","S4_B57",0
"144","S4_FBB0",0
"145","S4_HP301",0
"146","S4_LH60",0
"147","S4_NC262",0
"148","S4_PHG35",0
"149","S4_PHG39",0
"150","S4_PHG47",0.5
"151","S5_764",3.5
"152","S5_A554",2.5
"153","S5_B57",1.5
"154","S5_FBB0",0.5
"155","S5_HP301",0.5
"156","S5_LH60",2.5
"157","S5_NC262",2.5
"158","S5_PHG35",2.5
"159","S5_PHG39",5
"160","S5_PHG47",5.5
"161","S6_764",2.5
"162","S6_A554",5.5
"163","S6_B57",1
"164","S6_FBB0",7.5
"165","S6_HP301",35.5
"166","S6_LH60",3
"167","S6_NC262",5.5
"168","S6_PHG35",3.5
"169","S6_PHG39",2
"170","S6_PHG47",12.5
"171","S7_764",1.5
"172","S7_A554",1.5
"173","S7_B57",3
"174","S7_FBB0",6
"175","S7_HP301",3.5
"176","S7_LH60",1
"177","S7_NC262",3
"178","S7_PHG35",2
"179","S7_PHG39",0.5
"180","S7_PHG47",2
"181","S9_764",43
"182","S9_A554",34.5
"183","S9_B57",31
"184","S9_FBB0",199
"185","S9_HP301",45.5
"186","S9_LH60",40
"187","S9_NC262",52
"188","S9_PHG35",38
"189","S9_PHG39",41.5
"190","S9_PHG47",44.5
