B.gallicum,B.NA1,B.NA2,B.NA3,B.NA4,B.NA5,B.NA6,B.NA7,B.catenulatum,B.NA8,B.breve,B.adolescentis,B.bifidum,Sample_Name,Microbiome,Seed_Type,Reps
0,0,0,0,0,0,0,0,0,0,0,0,0,S12-764-2,S12,764,2
0,0,0,0,0,0,0,0,0,0,8,0,0,S3-764-2,S3,764,2
0,0,0,0,0,0,0,0,0,0,2,0,0,S6-764-2,S6,764,2
0,0,0,0,0,1,0,0,0,0,0,0,0,S15-764-2,S15,764,2
0,0,0,0,0,0,0,0,30,1,2,0,0,S9-764-1,S9,764,1
0,0,0,0,0,0,0,1,0,0,2,7,0,S2-764-1,S2,764,1
0,0,0,0,0,0,0,0,0,0,0,0,1,S18-764-1,S18,764,1
0,0,0,0,0,0,0,0,1,0,3,3,0,S19-764-2,S19,764,2
0,0,0,0,0,0,0,0,0,1,11,0,0,S12-764-1,S12,764,1
0,0,0,0,0,0,0,0,0,0,4,0,0,S22-764-1,S22,764,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S16-764-2,S16,764,2
0,0,0,0,0,0,0,0,0,0,1,0,0,S24-764-1,S24,764,1
0,0,0,0,0,0,0,0,2,0,1,1,0,S14-764-1,S14,764,1
0,0,0,0,0,0,0,0,0,0,0,3,0,S7-764-1,S7,764,1
0,0,0,0,0,0,0,0,1,0,0,0,0,S4-764-1,S4,764,1
0,0,1,0,0,0,0,0,31,0,14,0,0,S9-764-2,S9,764,2
0,0,0,0,0,0,0,0,0,0,13,0,0,S3-764-1,S3,764,1
0,0,0,0,0,0,0,0,1,0,0,0,0,S15-764-1,S15,764,1
0,0,0,0,0,0,0,0,0,0,0,7,0,S5-764-2,S5,764,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S21-764-2,S21,764,2
0,0,0,0,0,0,0,0,0,0,1,0,0,S22-764-2,S22,764,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S4-764-2,S4,764,2
0,0,0,0,0,0,0,0,0,1,0,0,0,S17-764-1,S17,764,1
0,0,0,0,0,0,0,0,0,0,2,3,0,S14-764-2,S14,764,2
0,0,0,0,0,0,0,1,1,0,0,20,0,S20-764-2,S20,764,2
0,0,0,0,0,0,0,0,1,0,1,0,0,S24-764-2,S24,764,2
0,0,0,0,0,0,0,0,0,1,0,0,0,S18-764-2,S18,764,2
0,0,0,0,0,0,0,0,0,0,0,5,0,S1-764-1,S1,764,1
0,0,0,0,0,0,0,0,0,0,2,28,0,S20-764-1,S20,764,1
0,0,0,0,0,0,0,0,0,0,0,1,0,S5-764-1,S5,764,1
0,0,0,0,0,0,0,0,0,0,1,2,0,S1-764-2,S1,764,2
0,0,0,0,0,0,1,0,0,0,1,4,0,S19-764-1,S19,764,1
0,0,0,0,0,0,0,0,0,0,0,0,1,S16-764-1,S16,764,1
0,0,0,0,0,0,0,0,0,0,4,0,0,S6-764-1,S6,764,1
0,0,0,0,0,0,0,0,0,0,3,3,0,S2-764-2,S2,764,2
0,0,0,0,0,0,0,0,0,0,0,0,2,S21-764-1,S21,764,1
0,0,0,0,0,0,0,0,0,1,0,0,0,S17-764-2,S17,764,2
0,0,0,0,0,0,0,0,0,0,0,2,0,S7-764-2,S7,764,2
0,0,0,0,0,0,0,0,0,0,1,0,0,S12-A554-2,S12,A554,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S6-A554-2,S6,A554,2
0,0,0,0,0,0,0,0,0,0,1,0,0,S3-A554-2,S3,A554,2
0,0,0,0,0,0,0,0,2,0,0,0,0,S15-A554-2,S15,A554,2
0,0,0,0,0,0,0,2,24,0,8,0,0,S9-A554-1,S9,A554,1
0,0,0,0,0,0,0,0,0,0,0,4,1,S2-A554-1,S2,A554,1
0,0,0,0,0,0,0,0,2,0,0,0,0,S18-A554-1,S18,A554,1
0,0,0,0,0,0,1,0,1,0,1,13,0,S20-A554-1,S20,A554,1
