Bifidobacterium,Sample_Name,Microbiome,Seed_Type,Reps,Microbiome_Seed
0,S12-764-2,S12,764,2,S12_764
12,S3-764-2,S3,764,2,S3_764
0,S6-764-2,S6,764,2,S6_764
1,S15-764-2,S15,764,2,S15_764
23,S9-764-1,S9,764,1,S9_764
12,S2-764-1,S2,764,1,S2_764
7,S18-764-1,S18,764,1,S18_764
7,S19-764-2,S19,764,2,S19_764
10,S12-764-1,S12,764,1,S12_764
2,S22-764-1,S22,764,1,S22_764
1,S16-764-2,S16,764,2,S16_764
2,S24-764-1,S24,764,1,S24_764
7,S14-764-1,S14,764,1,S14_764
2,S7-764-1,S7,764,1,S7_764
0,S4-764-1,S4,764,1,S4_764
63,S9-764-2,S9,764,2,S9_764
12,S3-764-1,S3,764,1,S3_764
3,S15-764-1,S15,764,1,S15_764
3,S5-764-2,S5,764,2,S5_764
0,S21-764-2,S21,764,2,S21_764
2,S22-764-2,S22,764,2,S22_764
0,S4-764-2,S4,764,2,S4_764
0,S17-764-1,S17,764,1,S17_764
10,S14-764-2,S14,764,2,S14_764
28,S20-764-2,S20,764,2,S20_764
1,S24-764-2,S24,764,2,S24_764
1,S18-764-2,S18,764,2,S18_764
5,S1-764-1,S1,764,1,S1_764
31,S20-764-1,S20,764,1,S20_764
4,S5-764-1,S5,764,1,S5_764
2,S1-764-2,S1,764,2,S1_764
8,S19-764-1,S19,764,1,S19_764
2,S16-764-1,S16,764,1,S16_764
5,S6-764-1,S6,764,1,S6_764
7,S2-764-2,S2,764,2,S2_764
1,S21-764-1,S21,764,1,S21_764
4,S17-764-2,S17,764,2,S17_764
1,S7-764-2,S7,764,2,S7_764
3,S12-A554-2,S12,A554,2,S12_A554
3,S6-A554-2,S6,A554,2,S6_A554
3,S3-A554-2,S3,A554,2,S3_A554
2,S15-A554-2,S15,A554,2,S15_A554
39,S9-A554-1,S9,A554,1,S9_A554
4,S2-A554-1,S2,A554,1,S2_A554
4,S18-A554-1,S18,A554,1,S18_A554
17,S20-A554-1,S20,A554,1,S20_A554
5,S19-A554-2,S19,A554,2,S19_A554
1,S12-A554-1,S12,A554,1,S12_A554
1,S22-A554-1,S22,A554,1,S22_A554
3,S24-A554-1,S24,A554,1,S24_A554
5,S14-A554-1,S14,A554,1,S14_A554
0,S16-A554-2,S16,A554,2,S16_A554
0,S7-A554-1,S7,A554,1,S7_A554
1,S4-A554-1,S4,A554,1,S4_A554
30,S9-A554-2,S9,A554,2,S9_A554
0,S3-A554-1,S3,A554,1,S3_A554
1,S5-A554-2,S5,A554,2,S5_A554
5,S15-A554-1,S15,A554,1,S15_A554
6,S21-A554-2,S21,A554,2,S21_A554
0,S22-A554-2,S22,A554,2,S22_A554
0,S4-A554-2,S4,A554,2,S4_A554
7,S14-A554-2,S14,A554,2,S14_A554
2,S17-A554-1,S17,A554,1,S17_A554
22,S20-A554-2,S20,A554,2,S20_A554
1,S24-A554-2,S24,A554,2,S24_A554
6,S18-A554-2,S18,A554,2,S18_A554
3,S1-A554-1,S1,A554,1,S1_A554
4,S5-A554-1,S5,A554,1,S5_A554
4,S19-A554-1,S19,A554,1,S19_A554
1,S16-A554-1,S16,A554,1,S16_A554
8,S6-A554-1,S6,A554,1,S6_A554
3,S2-A554-2,S2,A554,2,S2_A554
7,S1-A554-2,S1,A554,2,S1_A554
1,S21-A554-1,S21,A554,1,S21_A554
1,S17-A554-2,S17,A554,2,S17_A554
3,S7-A554-2,S7,A554,2,S7_A554
1,S12-B57-2,S12,B57,2,S12_B57
1,S3-B57-2,S3,B57,2,S3_B57
2,S15-B57-2,S15,B57,2,S15_B57
0,S6-B57-2,S6,B57,2,S6_B57
27,S9-B57-1,S9,B57,1,S9_B57
10,S2-B57-1,S2,B57,1,S2_B57
5,S18-B57-1,S18,B57,1,S18_B57
8,S19-B57-2,S19,B57,2,S19_B57
1,S12-B57-1,S12,B57,1,S12_B57
45,S20-B57-1,S20,B57,1,S20_B57
2,S22-B57-1,S22,B57,1,S22_B57
0,S24-B57-1,S24,B57,1,S24_B57
6,S14-B57-1,S14,B57,1,S14_B57
5,S7-B57-1,S7,B57,1,S7_B57
0,S16-B57-2,S16,B57,2,S16_B57
0,S4-B57-1,S4,B57,1,S4_B57
35,S9-B57-2,S9,B57,2,S9_B57
