Well Position,CT,Microbiome,Seed_Rep,Sample,Seed_Name
A1,24.103,S12,PHG47-1,S12-PHG47-1,PHG47
A2,24.235,S12,PHG47-2,S12-PHG47-2,PHG47
A3,23.946,S12,764-1,S12-764-1,764
A4,24.523,S12,764-2,S12-764-2,764
A5,23.859,S12,HP301-1,S12-HP301-1,HP301
A6,22.257,S12,HP301-2,S12-HP301-2,HP301
A7,23.832,S12,PHG39-1,S12-PHG39-1,PHG39
A8,22.792,S12,PHG39-2,S12-PHG39-2,PHG39
A9,24.958,S12,A554-1,S12-A554-1,A554
A10,24.678,S12,A554-2,S12-A554-2,A554
A11,Undetermined,S12,PHG-35,S12-PHG-35,PHG
A12,24.041,S12,PHG-36,S12-PHG-36,PHG
A13,26.148,S12,FBB0-1,S12-FBB0-1,FBB0
A14,25.231,S12,FBB0-2,S12-FBB0-2,FBB0
A15,25.568,S12,NC262-1,S12-NC262-1,NC262
A16,24.554,S12,NC262-2,S12-NC262-2,NC262
A17,24.308,S12,LH60-1,S12-LH60-1,LH60
A18,24.42,S12,LH60-2,S12-LH60-2,LH60
A19,24.045,S12,B57-1,S12-B57-1,B57
A20,24.318,S12,B57-2,S12-B57-2,B57
A21,23.225,S12,A554-1,S12-A554-1,A554
A22,23.335,S12,A554-2,S12-A554-2,A554
A23,24.501,S12,LH60-1,S12-LH60-1,LH60
A24,23.974,S12,LH60-2,S12-LH60-2,LH60
B1,Undetermined,S22,A554-1,S22-A554-1,A554
B2,23.388,S22,A554-2,S22-A554-2,A554
B3,Undetermined,S22,NC262-1,S22-NC262-1,NC262
B4,25.166,S22,NC262-2,S22-NC262-2,NC262
B5,Undetermined,S22,B57-1,S22-B57-1,B57
B6,23.397,S22,B57-2,S22-B57-2,B57
B7,Undetermined,S22,764-1,S22-764-1,764
B8,21.163,S22,764-2,S22-764-2,764
B9,Undetermined,S22,HP301-1,S22-HP301-1,HP301
B10,20.187,S22,HP301-2,S22-HP301-2,HP301
B11,Undetermined,S22,PHG47-1,S22-PHG47-1,PHG47
B12,20.714,S22,PHG47-2,S22-PHG47-2,PHG47
B13,Undetermined,S22,FBB0-1,S22-FBB0-1,FBB0
B14,19.634,S22,FBB0-2,S22-FBB0-2,FBB0
B15,Undetermined,S22,PHG39-1,S22-PHG39-1,PHG39
B16,21.211,S22,PHG39-2,S22-PHG39-2,PHG39
B17,Undetermined,S22,PHG35-1,S22-PHG35-1,PHG35
B18,Undetermined,S22,PHG35-2,S22-PHG35-2,PHG35
B19,Undetermined,S22,LH60-1,S22-LH60-1,LH60
B20,Undetermined,S22,LH60-2,S22-LH60-2,LH60
B21,Undetermined,S22,764-1,S22-764-1,764
B22,Undetermined,S22,764-2,S22-764-2,764
B23,Undetermined,S22,PHG39-1,S22-PHG39-1,PHG39
B24,Undetermined,S22,PHG39-2,S22-PHG39-2,PHG39
C1,22.137,S3,HP301-1,S3-HP301-1,HP301
C2,23.19,S3,HP301-2,S3-HP301-2,HP301
C3,21.729,S3,FBB0-1,S3-FBB0-1,FBB0
C4,24.847,S3,FBB0-2,S3-FBB0-2,FBB0
C5,21.455,S3,B57-1,S3-B57-1,B57
C6,24,S3,B57-2,S3-B57-2,B57
C7,22.218,S3,PHG39-1,S3-PHG39-1,PHG39
C8,22.207,S3,PHG39-2,S3-PHG39-2,PHG39
C9,21.819,S3,A554-1,S3-A554-1,A554
C10,21.851,S3,A554-2,S3-A554-2,A554
C11,21.568,S3,NC262-1,S3-NC262-1,NC262
C12,21.564,S3,NC262-2,S3-NC262-2,NC262
C13,20.105,S3,764-1,S3-764-1,764
C14,19.851,S3,764-2,S3-764-2,764
C15,20.671,S3,PHG35-1,S3-PHG35-1,PHG35
C16,20.7,S3,PHG35-2,S3-PHG35-2,PHG35
C17,Undetermined,S3,PHG47-1,S3-PHG47-1,PHG47
C18,20.666,S3,PHG47-2,S3-PHG47-2,PHG47
