Well Position,Microbiome,Seed,Rep,CT,
F1,S16,PHG39,2,25.442,
F2,S16,PHG39,2,25.056,
F3,S14,NC262,1,27.727,
F4,S14,NC262,1,27.377,
F5,S14,PHG47,1,25.131,
F6,S14,PHG47,1,25.221,
F7,S14,B57,1,26.820,
F8,S14,B57,1,26.414,
F9,S14,A554,1,26.806,
F10,S14,A554,1,26.847,
F11,S14,764,1,26.960,
F12,S14,764,1,27.002,
F13,S14,PHG39,1,26.981,
F14,S14,PHG39,1,26.562,
F15,S14,HP301,1,27.088,
F16,S14,HP301,1,27.131,
F17,S14,LH60,1,26.626,
F18,S14,LH60,1,26.629,
F19,S5,LH60,2,27.849,
F20,S5,LH60,2,Undetermined,
F21,NC,,,Undetermined,
F22,NC,,,Undetermined,
H1,S20,PHG39,1,23.544,
H2,S20,PHG39,1,23.829,
J1,S21,B57,1,Undetermined,
J2,S21,B57,1,22.115,
J3,S21,HP301,1,28.143,
J4,S21,HP301,1,25.565,
J5,S7,PHG35,2,26.670,
J6,S7,PHG35,2,26.669,
