Sample Name,CT,Microbiome,Seed_Name
S1-764-1,22.959,S1,764
S1-764-1,22.609,S1,764
S1-764-2,23.719,S1,764
S1-764-2,23.562,S1,764
S1-A554-1,23.804,S1,A554
S1-A554-1,23.439,S1,A554
S1-A554-2,23.663,S1,A554
S1-A554-2,24.059,S1,A554
S1-B57-1,24.069,S1,B57
S1-B57-1,24.23,S1,B57
S1-B57-2,23.31,S1,B57
S1-B57-2,23.58,S1,B57
S1-FBB0-1,24.147,S1,FBB0
S1-FBB0-1,23.9,S1,FBB0
S1-FBB0-2,23.601,S1,FBB0
S1-FBB0-2,24.118,S1,FBB0
S1-HP301-1,24.701,S1,HP301
S1-HP301-1,24.441,S1,HP301
S1-HP301-2,24.1,S1,HP301
S1-HP301-2,24.408,S1,HP301
S1-LH60-1,24.828,S1,LH60
S1-LH60-1,24.915,S1,LH60
S1-LH60-2,23.719,S1,LH60
S1-LH60-2,23.982,S1,LH60
S1-NC262-1,24.054,S1,NC262
S1-NC262-1,23.999,S1,NC262
S1-NC262-2,24.668,S1,NC262
S1-NC262-2,24.954,S1,NC262
S1-PHG35-1,24.722,S1,PHG35
S1-PHG35-1,23.976,S1,PHG35
S1-PHG35-2,24.966,S1,PHG35
S1-PHG35-2,25.188,S1,PHG35
S1-PHG39-1,22.606,S1,PHG39
S1-PHG39-1,22.518,S1,PHG39
S1-PHG39-2,23.279,S1,PHG39
S1-PHG39-2,23.565,S1,PHG39
S1-PHG47-1,23.338,S1,PHG47
S1-PHG47-1,23.56,S1,PHG47
S1-PHG47-2,24.303,S1,PHG47
S1-PHG47-2,24.372,S1,PHG47
S12-764-1,26.182,S12,764
S12-764-1,26.022,S12,764
S12-764-2,27.687,S12,764
S12-764-2,27.44,S12,764
S12-A554-1,28.12,S12,A554
S12-A554-1,28.053,S12,A554
S12-A554-2,29.831,S12,A554
S12-A554-2,28.21,S12,A554
S12-B57-1,27.617,S12,B57
S12-B57-1,27.435,S12,B57
S12-B57-2,27.105,S12,B57
S12-B57-2,27.376,S12,B57
S12-FBB0-1,28.827,S12,FBB0
S12-FBB0-1,28.785,S12,FBB0
S12-FBB0-2,30.071,S12,FBB0
S12-FBB0-2,29.376,S12,FBB0
S12-HP301-1,27.981,S12,HP301
S12-HP301-1,27.638,S12,HP301
S12-HP301-2,27.13,S12,HP301
S12-HP301-2,26.785,S12,HP301
S12-LH60-1,27.623,S12,LH60
S12-LH60-1,27.843,S12,LH60
S12-NC262-1,28.451,S12,NC262
S12-NC262-1,28.443,S12,NC262
S12-NC262-2,27.27,S12,NC262
S12-NC262-2,27.26,S12,NC262
S12-PHG35-1,26.85,S12,PHG35
S12-PHG35-1,26.696,S12,PHG35
S12-PHG35-2,27.673,S12,PHG35
S12-PHG35-2,27.712,S12,PHG35
S12-PHG39-1,28.044,S12,PHG39
S12-PHG39-1,27.7,S12,PHG39
S12-PHG39-2,27.54,S12,PHG39
S12-PHG39-2,27.165,S12,PHG39
S12-PHG47-2,26.555,S12,PHG47
S12-PHG47-2,26.412,S12,PHG47
S14-764-1,26.96,S14,764
S14-764-1,27.002,S14,764
S14-764-2,25.146,S14,764
S14-764-2,25.032,S14,764
S14-A554-1,26.806,S14,A554
S14-A554-1,26.847,S14,A554
S14-A554-2,25.012,S14,A554
S14-A554-2,24.827,S14,A554
S14-B57-1,26.82,S14,B57
S14-B57-1,26.414,S14,B57
S14-B57-2,25.046,S14,B57
S14-B57-2,24.747,S14,B57
S14-FBB0-1,27.647,S14,FBB0
S14-FBB0-1,28.057,S14,FBB0
S14-FBB0-2,30.905,S14,FBB0
S14-FBB0-2,32.182,S14,FBB0
S14-HP301-1,27.088,S14,HP301
S14-HP301-1,27.131,S14,HP301
S14-HP301-2,25.319,S14,HP301
S14-HP301-2,25.423,S14,HP301
S14-LH60-1,26.626,S14,LH60
S14-LH60-1,26.629,S14,LH60
S14-LH60-2,26.504,S14,LH60
S14-LH60-2,26.002,S14,LH60
S14-NC262-1,27.727,S14,NC262
S14-NC262-1,27.377,S14,NC262
S14-NC262-2,25.988,S14,NC262
S14-NC262-2,25.595,S14,NC262
S14-PHG35-1,25.033,S14,PHG35
S14-PHG35-1,25.136,S14,PHG35
S14-PHG35-2,25.22,S14,PHG35
S14-PHG35-2,24.975,S14,PHG35
S14-PHG39-1,26.981,S14,PHG39
S14-PHG39-1,26.562,S14,PHG39
S14-PHG47-1,25.131,S14,PHG47
S14-PHG47-1,25.221,S14,PHG47
S14-PHG47-2,23.957,S14,PHG47
S14-PHG47-2,24.626,S14,PHG47
S15-764-1,26.603,S15,764
S15-764-1,25.705,S15,764
S15-764-2,24.264,S15,764
S15-764-2,24.596,S15,764
S15-A554-1,28.237,S15,A554
S15-A554-1,28.125,S15,A554
S15-A554-2,26.21,S15,A554
S15-A554-2,26.15,S15,A554
S15-B57-1,25.926,S15,B57
S15-B57-1,26.254,S15,B57
S15-B57-2,26.401,S15,B57
S15-B57-2,25.997,S15,B57
S15-FBB0-1,27.044,S15,FBB0
S15-FBB0-1,27.814,S15,FBB0
S15-FBB0-2,27.281,S15,FBB0
S15-FBB0-2,27.914,S15,FBB0
S15-HP301-1,23.757,S15,HP301
S15-HP301-1,23.75,S15,HP301
S15-HP301-2,25.864,S15,HP301
S15-HP301-2,25.925,S15,HP301
S15-LH60-2,24.979,S15,LH60
S15-LH60-2,24.374,S15,LH60
S15-NC262-1,25.981,S15,NC262
S15-NC262-1,25.583,S15,NC262
S15-NC262-2,24.571,S15,NC262
S15-NC262-2,24.08,S15,NC262
S15-PHG35-2,24.559,S15,PHG35
S15-PHG35-2,24.554,S15,PHG35
S15-PHG39-1,25.11,S15,PHG39
S15-PHG39-1,25.563,S15,PHG39
S15-PHG39-2,24.217,S15,PHG39
S15-PHG39-2,23.565,S15,PHG39
S15-PHG47-1,26.53,S15,PHG47
S15-PHG47-1,26.862,S15,PHG47
S15-PHG47-2,24.305,S15,PHG47
S15-PHG47-2,23.531,S15,PHG47
S16-764-1,25.97,S16,764
S16-764-1,25.696,S16,764
S16-764-2,27.578,S16,764
S16-764-2,27.493,S16,764
S16-A554-1,26.885,S16,A554
S16-A554-1,27.152,S16,A554
S16-A554-2,27.621,S16,A554
S16-A554-2,27.82,S16,A554
S16-B57-1,26.65,S16,B57
S16-B57-1,26.964,S16,B57
S16-B57-2,29.19,S16,B57
S16-B57-2,29.057,S16,B57
S16-FBB0-1,29.739,S16,FBB0
S16-FBB0-1,29.672,S16,FBB0
S16-FBB0-2,30.308,S16,FBB0
S16-FBB0-2,30.34,S16,FBB0
S16-HP301-1,25.712,S16,HP301
S16-HP301-1,25.736,S16,HP301
S16-HP301-2,27.235,S16,HP301
S16-HP301-2,27.433,S16,HP301
S16-LH60-1,27.027,S16,LH60
S16-LH60-1,26.99,S16,LH60
S16-LH60-2,27.609,S16,LH60
S16-LH60-2,27.905,S16,LH60
S16-NC262-1,26.078,S16,NC262
S16-NC262-1,26.342,S16,NC262
S16-NC262-2,28.004,S16,NC262
S16-NC262-2,28.251,S16,NC262
