Sample_Name,Fusicatenibacter,[Eubacterium] eligens group,Lachnospiraceae NK4A136 group,Microbiome,Seed_Type,Rep
S12-764-1,21,54,34,S12,764,1
S12-764-2,22,31,9,S12,764,2
S12-A554-1,13,33,19,S12,A554,1
S12-A554-2,3,52,21,S12,A554,2
S12-B57-1,9,31,17,S12,B57,1
S12-B57-2,7,10,11,S12,B57,2
S12-FBB0-1,69,222,155,S12,FBB0,1
S12-FBB0-2,51,269,220,S12,FBB0,2
S12-HP301-1,33,34,8,S12,HP301,1
S12-HP301-2,19,19,10,S12,HP301,2
S12-LH60-1,11,19,20,S12,LH60,1
S12-LH60-2,12,23,5,S12,LH60,2
S12-NC262-1,12,17,17,S12,NC262,1
S12-NC262-2,3,32,20,S12,NC262,2
S12-PHG35-1,13,8,21,S12,PHG35,1
S12-PHG35-2,19,30,15,S12,PHG35,2
S12-PHG39-1,7,13,10,S12,PHG39,1
S12-PHG39-2,7,22,10,S12,PHG39,2
S12-PHG47-1,32,59,5,S12,PHG47,1
S12-PHG47-2,27,23,34,S12,PHG47,2
S6-764-1,60,50,114,S6,764,1
S6-764-2,59,44,85,S6,764,2
S6-A554-1,31,53,99,S6,A554,1
S6-A554-2,45,64,80,S6,A554,2
S6-B57-1,39,55,79,S6,B57,1
S6-B57-2,39,42,70,S6,B57,2
S6-FBB0-1,253,351,315,S6,FBB0,1
S6-FBB0-2,399,567,263,S6,FBB0,2
S6-HP301-1,75,62,92,S6,HP301,1
S6-HP301-2,55,31,103,S6,HP301,2
S6-LH60-1,48,49,75,S6,LH60,1
S6-LH60-2,80,26,96,S6,LH60,2
S6-NC262-1,22,29,62,S6,NC262,1
S6-NC262-2,34,44,58,S6,NC262,2
S6-PHG35-1,18,40,109,S6,PHG35,1
S6-PHG35-2,60,50,104,S6,PHG35,2
S6-PHG39-1,55,49,96,S6,PHG39,1
S6-PHG39-2,44,37,91,S6,PHG39,2
S6-PHG47-1,39,108,126,S6,PHG47,1
S6-PHG47-2,176,79,129,S6,PHG47,2
S9-764-1,212,42,6,S9,764,1
S9-764-2,289,31,14,S9,764,2
S9-A554-1,48,115,9,S9,A554,1
S9-A554-2,72,109,9,S9,A554,2
S9-B57-1,60,57,6,S9,B57,1
S9-B57-2,94,36,3,S9,B57,2
S9-FBB0-1,344,477,59,S9,FBB0,1
S9-FBB0-2,283,564,49,S9,FBB0,2
S9-HP301-1,149,29,10,S9,HP301,1
S9-HP301-2,117,31,11,S9,HP301,2
S9-LH60-1,74,56,5,S9,LH60,1
S9-LH60-2,149,39,6,S9,LH60,2
S9-NC262-1,99,70,12,S9,NC262,1
S9-NC262-2,79,41,5,S9,NC262,2
S9-PHG35-1,142,32,11,S9,PHG35,1
S9-PHG35-2,171,31,10,S9,PHG35,2
S9-PHG39-1,85,29,8,S9,PHG39,1
S9-PHG39-2,85,59,12,S9,PHG39,2
S9-PHG47-1,209,33,23,S9,PHG47,1
S9-PHG47-2,191,36,11,S9,PHG47,2
