"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Sellimonas","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae UCG-010","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214 group","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Leyella","Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Gordonibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] eligens group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group","Total"
"S12-764-2",1,22,30,2,1,5,0,3,0,31,5,16,9,125
"S12-764-1",16,21,20,5,20,54,0,47,0,54,22,41,34,334
"S12-A554-2",1,3,51,7,2,14,0,4,0,52,6,17,21,178
"S12-A554-1",5,13,36,5,6,24,0,4,0,33,16,23,19,184
"S12-B57-2",6,7,18,6,7,15,0,36,0,10,1,15,11,132
"S12-B57-1",3,9,52,7,10,23,0,22,0,31,2,120,17,296
"S12-FBB0-2",27,51,341,35,67,116,0,768,0,269,65,40,220,1999
"S12-FBB0-1",25,69,442,35,99,125,0,945,0,222,65,35,155,2217
"S12-HP301-2",0,19,93,2,18,30,0,6,0,19,3,211,10,411
"S12-HP301-1",8,33,105,0,9,16,0,1,0,34,1,220,8,435
"S12-LH60-2",3,12,38,5,11,15,0,12,0,23,1,44,5,169
"S12-LH60-1",6,11,34,7,18,4,0,21,0,19,7,18,20,165
"S12-NC262-2",3,3,23,10,8,31,0,10,1,32,9,30,20,180
"S12-NC262-1",1,12,40,2,34,7,0,12,1,17,5,48,17,196
"S12-PHG35-2",2,19,71,1,2,22,0,3,0,30,6,70,15,241
"S12-PHG35-1",4,13,11,2,8,17,0,25,0,8,7,19,21,135
"S12-PHG39-2",1,7,66,4,11,35,2,11,0,22,2,205,10,376
"S12-PHG39-1",1,7,56,4,12,39,2,23,0,13,4,98,10,269
"S12-PHG47-2",4,27,29,13,12,37,0,17,0,23,15,24,34,235
"S12-PHG47-1",2,32,78,3,2,12,0,4,0,59,2,48,5,247
