"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Enterocloster","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae UCG-010","Bacteria_Bacillota_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214 group","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae NK3B31 group","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Leyella","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Segatella","Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Selenomonadaceae_Anaerovibrio","Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Megasphaera","Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Allisonella","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Succinivibrionaceae_Succinivibrio","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae ND3007 group","Total"
"S14-764-1",72,6,0,36,2,2616,7,70,0,82,0,545,18,15,5,671,0,4145
"S14-764-2",55,5,4,23,1,5792,6,34,2,49,0,406,2,5,2,722,1,7109
"S14-A554-1",46,10,0,13,0,5496,4,19,0,41,1,540,6,5,2,823,0,7006
"S14-A554-2",48,33,0,15,0,5616,4,9,0,74,0,1874,2,2,0,877,0,8554
"S14-B57-1",68,10,0,37,2,5444,1,34,0,46,0,414,23,17,1,683,0,6780
"S14-B57-2",39,12,1,24,0,3927,0,14,0,65,0,1913,3,2,2,602,0,6604
"S14-FBB0-1",136,108,15,90,20,10,10,89,21,781,6,4972,213,73,75,1916,0,8535
"S14-FBB0-2",122,71,18,73,19,9,12,82,25,758,7,5482,182,75,51,1796,0,8782
"S14-HP301-1",75,9,2,22,0,4710,7,23,0,38,0,506,7,10,2,821,2,6234
"S14-HP301-2",87,10,2,46,5,4997,8,30,0,70,1,560,12,24,8,533,2,6395
"S14-LH60-1",42,6,1,22,0,4862,6,20,0,48,0,475,3,8,4,835,0,6332
"S14-LH60-2",30,17,1,9,1,5496,2,30,0,25,0,663,3,3,1,759,0,7040
"S14-NC262-1",43,10,4,31,0,5397,1,31,0,44,0,455,18,8,5,806,0,6853
"S14-NC262-2",31,16,0,41,1,4806,1,17,0,63,0,1661,4,1,0,749,0,7391
"S14-PHG35-1",68,15,2,30,4,5474,1,23,0,55,0,437,16,6,3,713,0,6847
"S14-PHG35-2",47,19,0,16,4,4751,3,18,0,56,0,338,9,13,1,632,0,5907
"S14-PHG39-1",78,14,0,9,3,2966,2,27,0,81,0,600,4,9,2,806,0,4601
"S14-PHG39-2",68,13,0,2,1,4541,4,15,0,30,0,392,3,6,5,763,0,5843
"S14-PHG47-1",81,4,1,38,4,4613,4,42,0,58,0,407,8,14,4,651,0,5929
"S14-PHG47-2",41,11,0,19,0,5572,4,15,0,27,0,458,2,6,2,901,0,7058
