"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Mediterraneibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lactonifactor","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Ruminococcus] gnavus group","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_[Eubacterium] siraeum group","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Acutalibacter","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_DTU089","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] ruminantium group","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214 group","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Oscillospira","Bacteria_Bacillota_Clostridia_Oscillospirales_Butyricicoccaceae_UCG-009","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas","Bacteria_Bacillota_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family XIII UCG-001","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Segatella","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Pasteurellaceae_Haemophilus","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Escherichia-Shigella","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae FCS020 group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus","Bacteria_Bacillota_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium","Bacteria_Verrucomicrobiota_Verrucomicrobiia_Verrucomicrobiales_Akkermansiaceae_Akkermansia","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Coprobacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group","Total"
"S16-764-2",1,3,0,75,19,0,1,19,3,1,8,2,2,0,0,1,3,0,3080,0,67,3,2,854,6105,7,1032,12,34,11334
"S16-764-1",1,9,0,87,30,1,3,20,5,0,12,2,6,0,0,5,3,0,3798,0,29,0,7,713,5519,19,876,5,47,11197
"S16-A554-2",3,10,0,65,12,2,0,25,10,0,4,3,10,0,0,3,3,0,2043,0,73,2,2,1222,6045,23,1266,7,7,10840
"S16-A554-1",3,5,0,63,21,1,6,31,10,1,8,1,9,0,0,0,1,0,2179,3,112,0,9,852,6061,31,1237,9,14,10667
"S16-B57-2",3,10,0,68,25,1,3,25,8,0,8,3,10,0,0,1,0,0,1912,0,117,2,9,1064,5985,52,1302,9,10,10627
"S16-B57-1",1,7,0,82,27,1,9,27,10,0,5,0,11,0,0,2,1,0,1735,0,160,1,7,868,6434,15,1338,10,16,10767
"S16-FBB0-2",41,88,1,36,131,8,23,235,109,7,75,13,31,10,1,33,26,5,4920,34,20,16,36,169,2523,145,1367,25,140,10268
"S16-FBB0-1",28,109,2,28,102,8,30,146,141,7,101,14,28,4,1,18,32,3,6529,16,9,9,26,69,1793,102,1516,32,107,11010
"S16-HP301-2",2,5,0,72,31,3,4,27,4,1,8,2,7,0,0,0,3,0,2386,3,83,1,1,1005,5962,29,1203,12,16,10870
"S16-HP301-1",1,10,0,48,22,0,2,19,5,2,5,1,7,0,0,0,0,0,2091,1,100,0,3,836,6609,41,1062,7,23,10895
"S16-LH60-2",4,14,0,80,30,3,3,26,7,2,3,4,4,1,0,2,1,0,1980,2,95,2,6,1074,6075,17,1337,9,14,10795
"S16-LH60-1",7,17,0,82,38,3,2,16,10,3,0,3,2,0,0,0,1,0,1520,0,106,0,2,1204,6973,34,1210,9,15,11257
"S16-NC262-2",2,3,0,119,12,2,1,6,10,0,2,1,1,0,0,2,3,0,1321,2,185,1,1,1719,6356,24,1399,1,8,11181
"S16-NC262-1",5,9,0,138,32,1,3,19,9,1,14,6,3,0,0,2,5,0,1226,3,165,2,1,1284,6809,19,1409,5,15,11185
"S16-PHG35-2",2,8,0,87,30,3,3,30,5,2,3,5,10,0,0,0,4,0,2332,1,101,0,3,944,5938,27,1244,13,22,10817
"S16-PHG35-1",2,4,0,103,19,1,6,44,2,2,8,7,13,0,0,0,0,0,3114,0,90,0,4,575,6102,19,1117,6,25,11263
"S16-PHG39-2",1,4,0,60,30,0,7,28,18,1,10,1,7,0,0,0,0,0,2524,2,70,0,5,1083,6152,22,1071,16,9,11121
"S16-PHG39-1",0,7,0,82,30,3,9,35,8,3,6,1,16,0,0,1,2,0,2286,1,89,0,1,667,6297,23,1096,6,12,10681
"S16-PHG47-2",5,5,0,69,17,1,2,62,6,0,4,0,5,0,0,3,1,0,3480,0,27,4,3,1028,5371,16,990,4,24,11127
"S16-PHG47-1",2,5,0,82,19,1,0,58,2,1,9,0,2,0,0,3,2,0,3527,1,54,0,5,659,5921,20,850,2,24,11249
