"","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_[Eubacterium] siraeum group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] xylanophilum group","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter","Bacteria_Verrucomicrobiota_Lentisphaeria_Victivallales_Victivallaceae_Victivallis","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group","Total"
"S18-764-1",4,20,19,233,0,134,410
"S18-764-2",6,26,23,144,0,102,301
"S18-A554-1",2,40,16,232,0,110,400
"S18-A554-2",6,24,22,189,0,110,351
"S18-B57-1",1,38,18,182,0,61,300
"S18-B57-2",2,19,29,164,0,99,313
"S18-FBB0-1",41,146,74,467,3,242,973
"S18-FBB0-2",25,148,108,430,3,291,1005
"S18-HP301-1",7,38,27,178,0,96,346
"S18-HP301-2",3,21,25,257,0,118,424
"S18-LH60-1",4,48,34,272,0,153,511
"S18-LH60-2",2,21,26,184,0,96,329
"S18-NC262-1",2,49,17,262,0,145,475
"S18-NC262-2",4,21,32,194,0,103,354
"S18-PHG35-1",6,29,14,188,0,107,344
"S18-PHG35-2",3,46,18,195,0,111,373
"S18-PHG39-1",3,36,22,236,0,106,403
"S18-PHG39-2",2,51,30,200,0,123,406
"S18-PHG47-1",3,48,17,193,0,190,451
"S18-PHG47-2",2,18,3,152,0,202,377
