"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Blautia","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Mediterraneibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Butyribacter","Bacteria_Bacillota_Clostridia_Oscillospirales_Butyricicoccaceae_Agathobaculum","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Anaerofilum","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] ruminantium group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] xylanophilum group","Bacteria_Bacillota_Clostridia_Monoglobales_Monoglobaceae_Monoglobus","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214 group","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family XIII UCG-001","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes","Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Dialister","Bacteria_Thermodesulfobacteriota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Bilophila","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] eligens group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_GCA-900066575","Bacteria_Bacillota_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella","Total"
"S19-764-2",76,7,0,3,32,1,74,1,5,1,72,50,289,0,83,506,14,22,37,21,0,5492,61,6847
"S19-764-1",92,1,0,7,29,1,32,0,4,0,100,25,647,1,66,468,9,5,39,13,0,5887,46,7472
"S19-A554-2",62,5,0,8,28,3,27,0,4,3,78,45,553,0,88,622,12,8,89,12,0,5851,74,7572
"S19-A554-1",54,8,0,11,25,7,29,3,3,1,98,25,649,0,64,496,19,10,88,11,0,6212,57,7870
"S19-B57-2",100,3,0,8,54,6,61,1,7,2,105,52,684,0,106,565,19,19,47,15,0,6530,62,8446
"S19-B57-1",81,15,1,8,52,9,52,0,8,0,107,41,512,0,81,557,12,21,50,13,0,6796,70,8486
"S19-FBB0-2",365,52,12,32,201,0,210,10,48,64,184,152,1337,3,278,1071,2201,62,120,103,4,557,238,7304
"S19-FBB0-1",236,39,8,37,179,1,200,8,33,36,292,185,1371,6,217,1149,2120,50,128,93,4,485,267,7144
"S19-HP301-2",85,4,0,14,77,6,41,0,6,7,99,43,523,0,64,543,9,9,58,20,0,7129,68,8805
"S19-HP301-1",49,3,1,22,43,5,32,1,0,2,111,22,818,0,75,560,14,6,25,13,0,6145,67,8014
"S19-LH60-2",98,5,0,7,44,2,60,2,7,2,113,52,420,2,61,456,19,17,47,13,1,7162,60,8650
"S19-LH60-1",43,3,1,20,23,5,13,0,3,11,122,28,594,0,96,548,12,10,18,16,0,5688,46,7300
"S19-NC262-2",87,6,0,8,40,6,54,1,11,2,114,51,357,0,75,405,9,19,39,23,1,6417,83,7808
"S19-NC262-1",48,6,1,9,33,5,27,1,2,2,119,44,668,0,73,486,19,12,35,12,0,6880,81,8563
"S19-PHG35-2",107,8,0,18,41,6,45,1,3,7,116,48,642,0,85,552,10,14,42,25,0,6518,69,8357
"S19-PHG35-1",55,3,0,29,24,5,26,3,5,1,134,37,606,0,75,617,12,7,28,16,1,6175,71,7930
"S19-PHG39-2",71,6,0,21,54,0,51,1,2,2,98,42,469,0,88,521,16,17,42,11,0,7384,85,8981
"S19-PHG39-1",67,2,0,14,42,1,40,2,2,2,108,25,626,0,91,629,7,12,25,14,0,6756,48,8513
"S19-PHG47-2",123,9,1,17,25,2,29,2,7,4,80,20,606,0,76,525,10,8,95,15,1,5895,52,7602
"S19-PHG47-1",118,1,0,22,66,2,58,0,16,2,91,33,573,0,77,404,9,9,70,17,2,4235,51,5856
