"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae AC2044 group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_CAG-56","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Blautia","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Mediterraneibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Butyribacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] ventriosum group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Howardella","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Dorea","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Acutalibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] ruminantium group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] xylanophilum group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae UCG-010","Bacteria_Bacillota_Clostridia_Christensenellales_Christensenellaceae_Christensenella","Bacteria_Bacillota_Clostridia_Monoglobales_Monoglobaceae_Monoglobus","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005","Bacteria_Bacillota_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Romboutsia","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family XIII AD3011 group","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Massiliprevotella","Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Selenomonadaceae_Megamonas","Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Veillonella","Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Dialister","Bacteria_Bacillota_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Pasteurellaceae_Haemophilus","Bacteria_Pseudomonadota_Gammaproteobacteria_Burkholderiales_Sutterellaceae_Parasutterella","Bacteria_Thermodesulfobacteriota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Bilophila","Bacteria_Pseudomonadota_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Brevundimonas","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae FCS020 group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] eligens group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_GCA-900066575","Bacteria_Bacillota_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Extibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group","Total"
"S1-764-1",4,0,11,38,0,1,126,3,0,15,984,56,0,0,3,0,0,8,3,2,1,4,20,42,1,13,53,5,0,298,0,0,27,8,15,1049,3,5315,2911,58,0,38,11115
"S1-764-2",1,1,5,33,2,0,131,1,5,38,815,22,0,0,7,0,0,5,4,4,1,5,6,21,6,7,55,9,1,254,5,1,45,6,13,1180,3,5331,2428,34,0,37,10522
"S1-A554-1",3,0,5,33,0,6,112,4,0,38,815,40,3,3,3,1,0,1,7,3,0,6,19,35,3,5,58,10,1,237,2,0,62,15,11,1166,1,5624,1920,46,1,30,10329
"S1-A554-2",2,3,8,49,1,1,98,7,0,38,763,16,2,1,2,0,0,4,1,3,2,4,32,82,1,5,43,8,0,233,6,0,48,14,11,1329,0,5488,2209,53,0,23,10590
"S1-B57-1",9,0,4,21,0,2,78,3,0,19,716,25,0,1,10,0,0,4,6,4,0,4,22,122,0,4,26,6,4,293,5,0,49,9,10,881,1,6379,1895,38,0,32,10682
"S1-B57-2",2,3,13,25,2,13,197,2,3,63,553,24,4,0,22,0,0,3,12,3,0,11,17,34,3,4,56,9,1,247,6,0,54,16,11,1100,3,4445,2635,51,0,34,9681
"S1-FBB0-1",35,12,67,154,19,130,966,30,14,95,1117,183,10,6,142,6,4,18,52,39,8,34,56,1241,74,29,725,22,17,167,28,2,12,52,82,535,10,172,3902,128,3,353,10751
"S1-FBB0-2",29,21,56,172,25,119,949,26,13,110,1065,179,14,10,124,4,3,25,45,39,7,40,79,1253,87,43,721,29,21,132,35,2,9,72,112,558,20,165,4096,94,4,401,11008
"S1-HP301-1",1,1,4,27,0,2,82,2,1,26,864,42,0,1,7,0,2,3,6,1,2,8,20,165,0,6,40,10,1,366,5,1,49,9,13,1043,6,5748,2450,45,0,27,11086
"S1-HP301-2",3,2,9,22,4,2,70,2,0,30,836,32,2,1,1,0,0,7,8,1,2,14,21,179,0,4,55,6,0,297,10,1,53,6,14,890,1,6103,2324,33,0,30,11075
"S1-LH60-1",3,1,4,17,1,1,55,3,0,8,1057,38,2,0,1,0,0,2,2,0,0,7,19,182,2,3,54,16,2,388,4,0,44,16,16,921,4,6228,1849,47,0,15,11012
"S1-LH60-2",3,0,8,32,0,4,74,1,0,47,906,18,2,0,0,2,0,1,2,1,0,8,21,195,1,2,44,11,0,370,9,0,49,5,8,873,4,6293,2217,36,0,34,11281
"S1-NC262-1",0,0,1,32,3,5,98,3,0,27,642,25,2,0,7,0,1,4,0,3,2,5,25,19,0,2,43,5,0,277,6,0,42,4,3,1336,0,6532,1725,52,1,23,10955
"S1-NC262-2",1,1,9,34,0,1,79,3,0,22,553,20,0,1,2,1,0,5,4,4,1,0,29,120,0,3,34,11,1,286,1,1,43,7,6,1377,0,6637,1773,43,2,19,11134
"S1-PHG35-1",5,0,4,17,1,0,87,5,0,21,804,22,2,0,3,0,0,5,2,0,0,8,16,108,0,4,30,5,4,309,6,0,50,16,11,941,1,6345,2221,43,0,28,11124
"S1-PHG35-2",7,2,18,41,0,1,98,0,0,32,497,31,0,0,3,2,0,3,3,3,1,8,17,98,1,6,34,10,1,276,1,0,67,18,11,974,1,6284,2345,51,0,37,10982
"S1-PHG39-1",4,1,8,26,0,4,90,3,0,26,444,30,1,0,5,2,0,5,0,0,0,10,18,73,2,9,24,3,0,230,4,0,35,9,10,1471,1,6396,1409,46,1,13,10413
"S1-PHG39-2",4,1,8,8,3,10,189,9,0,41,614,39,2,2,13,1,0,1,10,2,0,5,17,48,2,6,52,11,2,270,0,0,55,6,16,1194,2,5069,2196,35,0,38,9981
"S1-PHG47-1",6,0,8,30,0,4,61,2,0,14,1111,95,2,4,0,0,0,5,7,5,1,4,14,307,2,4,40,2,1,422,2,0,16,16,3,943,3,5707,2698,21,1,29,11590
