"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Oribacterium","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_[Eubacterium] siraeum group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] xylanophilum group","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Ruminiclostridium","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Papillibacter","Bacteria_Bacillota_Bacilli_Lactobacillales_Lactobacillaceae_Ligilactobacillus","Bacteria_Bacillota_Bacilli_Staphylococcales_Gemellaceae_Gemella","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Paeniclostridium","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family XIII AD3011 group","Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Dialister","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Kineothrix","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Family XI_Peptoniphilus","Bacteria_Bacillota_Clostridia_Eubacteriales_Anaerofustaceae_Anaerofustis","Bacteria_Cyanobacteriota_Vampirivibrionia_Gastranaerophilales_Gastranaerophilaceae_Zag_111","Bacteria_Calditrichota_Calditrichia_Calditrichales_Calditrichaceae_JdFR-76","Bacteria_Verrucomicrobiota_Verrucomicrobiia_Verrucomicrobiales_Akkermansiaceae_Akkermansia","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides","Total"
"S20-764-2",0,13,7,2,6,0,0,0,1,25,12,0,0,0,0,2,189,1409,535,2201
"S20-764-1",0,29,8,0,11,0,0,0,9,35,82,0,0,0,0,0,119,1374,605,2272
"S20-A554-1",0,29,16,0,13,0,0,0,3,52,64,0,0,0,0,0,165,1758,745,2845
"S20-A554-2",0,18,4,3,12,0,0,0,4,35,94,0,0,0,0,0,154,1639,688,2651
"S20-B57-1",0,39,13,1,30,0,0,0,0,54,93,0,4,0,0,0,211,1976,990,3411
"S20-B57-2",0,46,10,1,26,0,0,0,4,65,98,0,2,0,0,0,241,2016,876,3385
"S20-FBB0-1",0,79,46,9,45,1,0,0,0,23,612,0,0,0,0,0,356,862,291,2324
"S20-FBB0-2",0,108,45,8,40,1,0,0,2,15,635,0,0,0,0,0,318,827,260,2259
"S20-HP301-1",0,27,17,1,13,0,0,0,2,50,101,0,0,0,0,0,202,2065,788,3266
"S20-HP301-2",0,32,23,0,11,0,0,0,0,47,116,0,0,0,0,0,133,1864,749,2975
"S20-LH60-2",1,18,8,1,11,4,1,3,0,43,82,0,0,0,2,0,145,1671,615,2605
"S20-NC262-2",0,30,3,0,6,0,0,0,1,54,15,0,0,0,0,0,164,1746,733,2752
"S20-NC262-1",0,17,2,0,15,0,0,0,9,56,25,0,0,0,0,0,172,1720,673,2689
"S20-PHG35-2",0,27,5,0,15,0,0,0,52,62,96,1,0,1,3,4,114,1692,640,2712
"S20-PHG39-2",0,41,13,0,21,0,0,0,4,65,86,0,0,0,0,0,208,1786,750,2974
"S20-PHG39-1",0,26,14,1,9,0,0,0,1,69,98,0,0,0,0,0,252,1778,775,3023
"S20-PHG47-2",0,17,13,0,12,0,0,0,4,18,90,0,0,0,0,0,96,969,418,1637
"S20-PHG47-1",0,27,11,1,6,0,0,0,7,34,57,0,0,0,0,0,156,1597,484,2380
