"","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Gemmiger","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Angelakisella","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Paludicola","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Anaerotruncus","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae UCG-010","Bacteria_Bacillota_Clostridia_Monoglobales_Monoglobaceae_Monoglobus","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005","Bacteria_Bacillota_Clostridia_Oscillospirales_Butyricicoccaceae_UCG-009","Bacteria_Bacillota_Bacilli_Staphylococcales_Gemellaceae_Gemella","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas","Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Dialister","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Pasteurellaceae_Haemophilus","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Escherichia-Shigella","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Succinivibrionaceae_Succinivibrio","Bacteria_Thermodesulfobacteriota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Bilophila","Bacteria_Verrucomicrobiota_Lentisphaeria_Victivallales_Victivallaceae_Victivallis","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Frisingicoccus","Bacteria_Verrucomicrobiota_Verrucomicrobiia_Verrucomicrobiales_Akkermansiaceae_Akkermansia","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group","Total"
"S21-764-2",31,230,98,1,2,1,11,18,37,0,0,180,2283,0,359,54,16,0,34,10,137,5462,113,66,9143
"S21-764-1",55,154,153,4,6,2,8,16,33,0,0,216,1738,2,407,66,14,0,20,3,178,5465,90,83,8713
"S21-A554-2",55,148,75,3,2,3,20,1,33,1,2,360,1084,2,538,35,19,0,29,8,158,4652,181,65,7474
"S21-A554-1",40,228,80,2,2,2,8,4,39,0,4,272,1070,5,414,54,16,0,43,11,148,5180,125,61,7808
"S21-B57-2",38,118,71,6,6,0,3,3,43,0,0,201,955,0,585,36,24,0,27,37,159,4661,128,34,7135
"S21-B57-1",27,163,83,2,10,0,2,4,33,1,0,233,1397,0,394,34,15,0,24,41,96,4290,168,62,7079
"S21-FBB0-2",117,449,279,8,22,21,32,13,102,3,0,235,759,14,58,111,41,2,123,0,633,6430,46,138,9636
"S21-FBB0-1",81,437,331,9,20,12,44,13,115,6,0,224,637,9,41,104,59,2,110,2,721,6512,42,141,9672
"S21-HP301-2",43,114,93,1,5,2,19,13,36,0,0,254,1203,4,314,24,17,0,25,30,128,5396,132,60,7913
"S21-HP301-1",47,164,124,1,3,7,7,11,44,0,0,256,1513,6,417,35,19,0,21,18,115,5510,139,61,8518
"S21-LH60-2",68,123,87,7,5,4,11,12,36,0,0,371,993,2,446,48,23,0,15,26,137,5357,178,74,8023
"S21-LH60-1",76,138,94,8,4,5,17,10,48,0,0,308,1050,0,453,52,25,0,17,10,160,4866,147,53,7541
"S21-NC262-2",69,165,72,3,2,5,11,2,19,2,0,331,784,1,557,38,8,0,25,7,133,4639,272,88,7233
"S21-NC262-1",87,201,117,3,6,2,5,7,44,1,0,370,581,2,370,31,23,1,31,1,175,5027,246,81,7412
"S21-PHG35-2",34,191,87,3,6,3,11,0,28,0,0,246,1209,0,429,48,22,0,22,28,188,5581,129,55,8320
"S21-PHG35-1",33,145,86,4,10,6,17,11,42,1,0,243,1753,1,376,34,24,0,22,29,142,5846,138,40,9003
"S21-PHG39-2",58,131,88,4,7,6,9,0,30,0,0,313,1030,2,488,33,21,1,12,36,148,5007,141,46,7611
"S21-PHG39-1",56,148,91,2,3,2,16,6,44,0,0,285,1075,0,475,27,27,0,6,26,164,4971,235,67,7726
"S21-PHG47-2",53,175,96,1,4,1,4,18,27,0,0,205,1225,4,418,29,23,0,31,4,106,5151,95,53,7723
"S21-PHG47-1",62,181,138,0,6,2,7,20,34,0,0,228,1448,3,304,40,14,0,24,12,135,5742,126,76,8602
