"","Bacteria_Bacillota_Clostridia_Oscillospirales_Butyricicoccaceae_UCG-008","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] xylanophilum group","Bacteria_Bacillota_Clostridia_Monoglobales_Monoglobaceae_Monoglobus","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214 group","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Intestinibacter","Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Dialister","Bacteria_Pseudomonadota_Gammaproteobacteria_Burkholderiales_Sutterellaceae_Sutterella","Bacteria_Pseudomonadota_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] eligens group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group","Total"
"S24-764-1",0,6,18,75,2,186,748,0,33,28,132,1228
"S24-764-2",0,3,19,46,0,283,701,0,48,26,105,1231
"S24-A554-1",0,3,17,49,3,271,624,0,84,41,100,1192
"S24-A554-2",0,4,15,68,2,218,716,0,131,35,86,1275
"S24-B57-1",0,3,23,49,3,351,747,5,60,36,99,1376
"S24-B57-2",0,6,17,49,0,294,577,0,48,13,82,1086
"S24-FBB0-1",2,147,127,211,12,2178,203,8,193,151,423,3655
"S24-FBB0-2",0,151,132,161,18,2058,151,10,151,157,386,3375
"S24-HP301-1",0,9,32,32,0,248,793,0,34,24,125,1297
"S24-HP301-2",0,5,13,48,0,369,633,1,48,30,75,1222
"S24-LH60-1",0,23,57,80,7,141,733,1,77,68,210,1397
"S24-LH60-2",0,8,24,63,1,204,706,0,51,29,76,1162
"S24-NC262-1",0,2,18,46,0,135,707,1,27,32,96,1064
"S24-NC262-2",0,2,12,55,0,197,688,0,31,11,63,1059
"S24-PHG35-1",1,3,24,46,1,211,653,2,36,38,143,1158
"S24-PHG35-2",0,1,10,36,2,394,686,0,41,21,115,1306
"S24-PHG39-1",3,2,20,55,1,212,840,0,39,31,76,1279
"S24-PHG39-2",3,0,20,63,1,317,576,0,28,24,61,1093
"S24-PHG47-1",0,16,16,36,2,164,834,0,38,37,168,1311
"S24-PHG47-2",0,4,15,50,0,353,691,1,62,28,176,1380
