"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae AC2044 group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_CAG-56","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Butyribacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Anaerotruncus","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] ruminantium group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] xylanophilum group","Bacteria_Bacillota_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Bacteria_Bacillota_Clostridia_Monoglobales_Monoglobaceae_Monoglobus","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005","Bacteria_Bacillota_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Massiliprevotella","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae FCS020 group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae ND3007 group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] eligens group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira","Bacteria_Bacillota_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group","Total"
"S2-764-1",10,7,22,9,577,81,0,91,12,6,13,6,16,9,22,13,35,24,50,2712,2688,17,6420
"S2-764-2",17,0,14,1,286,76,0,66,3,11,6,9,8,9,194,20,27,12,46,3523,2998,31,7357
"S2-A554-1",5,3,21,8,334,69,1,75,4,4,7,4,9,11,142,17,6,26,52,3115,2492,18,6423
"S2-A554-2",12,0,19,0,254,61,0,55,0,10,8,5,7,9,190,25,6,10,60,3161,2213,18,6123
"S2-B57-1",10,0,23,4,299,61,0,70,7,4,6,13,5,3,111,26,7,25,53,4774,2333,19,7853
"S2-B57-2",8,1,12,1,183,64,0,70,5,5,7,12,2,5,399,19,1,7,31,5289,2079,20,8220
"S2-FBB0-1",36,59,112,43,816,1175,2,411,158,34,34,22,42,30,1022,43,59,152,188,202,1787,75,6502
"S2-FBB0-2",34,50,86,57,893,807,2,489,129,31,41,18,49,50,932,45,47,134,208,211,1872,95,6280
"S2-HP301-1",8,1,30,4,380,77,0,79,7,10,2,3,14,11,69,22,41,21,57,2872,3042,22,6772
"S2-HP301-2",18,0,18,1,218,59,0,63,1,7,7,11,12,8,145,32,19,13,35,3097,2745,29,6538
"S2-LH60-1",5,3,10,4,321,86,0,80,8,9,4,7,0,9,126,15,12,17,46,4741,1951,21,7475
"S2-LH60-2",12,0,17,0,267,67,0,82,2,10,3,5,3,5,210,17,9,17,48,3844,2310,26,6954
"S2-NC262-1",6,0,11,3,221,47,0,49,3,9,5,4,9,9,184,19,12,12,50,5551,1607,12,7823
"S2-NC262-2",1,2,12,0,198,49,0,60,10,11,3,13,9,10,209,19,6,9,32,5602,1448,24,7727
"S2-PHG35-1",15,5,19,2,308,63,0,75,14,0,3,0,7,14,63,28,21,13,51,3466,2362,14,6543
"S2-PHG35-2",15,1,13,1,350,86,0,69,5,12,4,5,7,7,152,18,3,8,36,3545,2218,23,6578
"S2-PHG39-1",1,2,31,8,261,52,0,69,10,10,6,2,3,16,124,13,9,20,45,5003,1959,11,7655
"S2-PHG39-2",11,4,17,2,303,78,0,63,3,9,4,1,11,13,76,12,14,12,39,3685,1997,18,6372
"S2-PHG47-1",27,3,19,4,401,79,0,100,5,9,17,5,6,10,87,21,49,21,43,3391,3007,24,7328
"S2-PHG47-2",36,3,12,6,366,88,0,77,5,7,11,6,10,9,58,10,74,17,51,2312,2953,38,6149
