"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae UCG-003","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_CAG-56","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Ruminococcus] gauvreauii group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Butyribacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] ventriosum group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Anaerobutyricum","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Gemmiger","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_[Eubacterium] siraeum group","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Acutalibacter","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Angelakisella","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NC2004 group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] ruminantium group","Bacteria_Bacillota_Clostridia_Monoglobales_Monoglobaceae_Monoglobus","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214 group","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Paeniclostridium","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family XIII UCG-001","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter","Bacteria_Bacillota_Clostridia_Peptococcales_Peptococcaceae_Peptococcus","Bacteria_Bacillota_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group","Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella","Bacteria_Actinomycetota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnotalea","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] eligens group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira","Bacteria_Bacillota_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium","Bacteria_Verrucomicrobiota_Verrucomicrobiia_Verrucomicrobiales_Akkermansiaceae_Akkermansia","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group","Total"
"S3-764-2",7,16,62,3,7,13,0,8,70,9,159,3,0,5,5,6,48,28,169,3,28,2,62,3,12,0,236,13,6574,139,58,86,7834
"S3-764-1",1,10,65,4,5,13,1,6,53,9,120,6,0,5,4,8,40,32,149,3,40,1,89,3,12,0,224,12,5297,79,111,80,6482
"S3-A554-2",9,11,49,9,3,12,4,10,58,9,162,2,1,5,7,3,39,31,105,1,45,0,62,0,3,0,275,15,6435,120,129,51,7665
"S3-A554-1",2,2,45,3,5,8,5,1,55,6,105,4,2,3,5,5,38,25,2,1,43,0,85,1,0,3,251,21,5286,70,133,29,6244
"S3-B57-2",8,12,41,1,6,11,4,3,53,8,82,7,2,0,2,1,42,25,0,2,44,1,59,0,1,5,185,22,6051,77,101,38,6894
"S3-B57-1",4,10,54,2,6,6,1,10,39,10,142,5,2,2,2,8,71,41,16,6,41,2,95,0,0,4,242,20,5727,82,112,64,6826
"S3-FBB0-2",29,116,406,25,43,63,1,33,430,70,929,28,15,0,93,36,131,73,0,28,92,18,400,0,3,5,1346,106,1652,1121,273,375,7940
"S3-FBB0-1",45,95,340,18,44,74,1,19,438,39,1098,16,19,0,78,28,124,87,0,22,116,13,336,1,1,7,1162,123,1075,1015,353,368,7155
"S3-HP301-2",2,24,104,6,8,12,11,5,84,8,152,8,2,3,3,10,46,39,321,0,29,0,84,0,2,3,335,21,6010,136,98,90,7656
"S3-HP301-1",3,20,52,1,8,13,12,5,65,13,145,1,1,5,2,7,61,28,400,3,36,3,70,0,2,2,192,24,5492,93,149,53,6961
"S3-LH60-2",7,24,103,3,15,11,5,8,102,21,216,4,5,1,5,11,38,24,4,1,34,2,75,0,1,2,391,22,7135,142,89,86,8587
"S3-LH60-1",9,11,45,3,1,18,1,4,62,12,133,5,2,2,1,9,59,35,35,2,39,1,78,0,3,1,179,16,5931,39,108,56,6900
"S3-NC262-2",4,7,51,5,3,14,1,2,41,13,113,8,3,4,1,5,36,32,48,6,50,1,64,1,0,2,206,18,6371,81,116,54,7361
"S3-NC262-1",4,6,40,5,3,11,2,2,71,14,112,3,0,1,0,6,77,35,16,4,80,2,66,1,0,0,171,14,4799,59,152,39,5795
"S3-PHG35-2",8,18,83,3,14,13,7,5,78,15,205,5,1,0,8,12,55,36,222,2,36,3,70,1,0,1,268,29,6853,154,81,101,8387
"S3-PHG35-1",4,11,39,3,7,14,2,6,68,6,156,1,2,1,6,9,52,22,285,0,35,0,81,2,0,3,229,10,5776,74,143,61,7108
"S3-PHG39-2",7,6,51,5,7,10,4,5,66,9,132,3,1,3,2,5,45,39,161,2,48,0,105,0,0,0,217,19,6041,87,133,49,7262
"S3-PHG39-1",7,19,47,2,3,14,8,1,62,12,145,2,1,1,3,4,54,26,211,1,35,1,81,0,2,1,245,11,5466,61,165,57,6748
"S3-PHG47-2",2,11,51,0,2,15,5,6,60,11,121,2,0,6,4,5,77,31,210,3,27,1,154,0,2,1,209,18,5791,129,122,83,7159
