"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] xylanophilum group","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Massiliprevotella","Bacteria_Bacillota_Negativicutes_Acidaminococcales_Acidaminococcaceae_Succiniclasticum","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus","Total"
"S5-764-2",6,0,1573,10,2001,3590
"S5-764-1",1,0,980,2,2686,3669
"S5-A554-2",2,3,1019,5,3253,4282
"S5-A554-1",2,5,1091,10,2128,3236
"S5-B57-2",2,7,878,4,3212,4103
"S5-B57-1",0,2,967,8,2270,3247
"S5-FBB0-2",45,705,2891,66,46,3753
"S5-FBB0-1",35,690,3263,37,54,4079
"S5-HP301-2",3,1,670,2,2605,3281
"S5-HP301-1",1,6,873,3,2430,3313
"S5-LH60-2",1,2,1124,4,3634,4765
"S5-LH60-1",0,2,901,3,3433,4339
"S5-NC262-2",3,0,918,4,4001,4926
"S5-NC262-1",2,0,855,11,3706,4574
"S5-PHG35-2",0,0,1187,2,3502,4691
"S5-PHG35-1",0,2,1074,4,2901,3981
"S5-PHG39-2",3,1,1193,6,2821,4024
"S5-PHG39-1",4,27,1230,8,1946,3215
"S5-PHG47-2",1,1,1324,8,2434,3768
"S5-PHG47-1",1,7,1027,3,2241,3279
