"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Blautia","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] ruminantium group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae UCG-010","Bacteria_Bacillota_Clostridia_Monoglobales_Monoglobaceae_Monoglobus","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Oscillibacter","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Romboutsia","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family XIII UCG-001","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter","Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Dialister","Bacteria_Bacillota_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Pasteurellaceae_Haemophilus","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Escherichia-Shigella","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] eligens group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Coprobacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group","Total"
"S6-764-2",59,20,9,0,2,10,4,0,2,54,13,2,38,15,44,4,1,85,362
"S6-764-1",60,42,5,0,5,1,2,1,0,41,11,5,31,4,50,13,3,114,388
"S6-A554-2",45,37,7,0,3,2,2,0,0,53,7,5,44,1,64,12,2,80,364
"S6-A554-1",31,32,2,0,9,8,2,2,0,65,104,2,51,13,53,14,0,99,487
"S6-B57-2",39,37,8,0,7,1,3,1,0,66,24,6,47,1,42,15,3,70,370
"S6-B57-1",39,43,7,0,4,7,0,1,0,85,25,1,44,3,55,12,6,79,411
"S6-FBB0-2",399,627,59,0,41,52,11,26,7,152,448,39,198,54,567,190,11,263,3144
"S6-FBB0-1",253,466,42,0,46,76,10,19,6,124,421,24,161,80,351,151,14,315,2559
"S6-HP301-2",55,56,6,0,2,10,2,1,1,70,13,1,43,3,31,13,3,103,413
"S6-HP301-1",75,78,11,0,4,3,1,2,1,68,36,2,17,6,62,8,1,92,467
"S6-LH60-2",80,42,3,0,2,9,0,1,1,23,1,1,20,5,26,20,0,96,330
"S6-LH60-1",48,30,6,0,5,9,0,0,0,48,14,0,36,8,49,8,0,75,336
"S6-NC262-2",34,26,3,1,7,16,0,1,0,59,11,5,40,4,44,11,2,58,322
"S6-NC262-1",22,38,6,2,10,3,0,5,0,65,24,7,45,6,29,9,0,62,333
"S6-PHG35-2",60,50,14,0,7,10,4,1,1,54,6,4,32,6,50,16,0,104,419
"S6-PHG35-1",18,35,5,0,2,12,0,0,0,63,66,10,49,5,40,5,7,109,426
"S6-PHG39-2",44,60,13,0,0,7,0,4,0,56,14,2,48,3,37,17,3,91,399
"S6-PHG39-1",55,33,6,0,10,4,0,1,1,82,16,5,42,1,49,12,2,96,415
"S6-PHG47-2",176,69,10,0,8,6,2,3,1,46,27,12,47,5,79,20,5,129,645
"S6-PHG47-1",39,59,9,0,5,13,0,0,4,80,80,1,33,5,108,11,3,126,576
