"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_CAG-56","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Mediterraneibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Ruminococcus] gauvreauii group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Oribacterium","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Butyribacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_GCA-900066755","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Howardella","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4B4 group","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Gemmiger","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_[Eubacterium] siraeum group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] ruminantium group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] xylanophilum group","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Papillibacter","Bacteria_Bacillota_Clostridia_Monoglobales_Monoglobaceae_Monoglobus","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Oscillibacter","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002","Bacteria_Bacillota_Bacilli_Lactobacillales_Carnobacteriaceae_Granulicatella","Bacteria_Bacillota_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Paraclostridium","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Romboutsia","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family XIII AD3011 group","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Family XI_Ezakiella","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Family XI_Parvimonas","Bacteria_Bacillota_Clostridia_Peptococcales_Peptococcaceae_Peptococcus","Bacteria_Bacillota_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group","Bacteria_Cyanobacteriota_Vampirivibrionia_Gastranaerophilales_Gastranaerophilaceae_Zag_111","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Pasteurellaceae_Haemophilus","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Escherichia-Shigella","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae ND3007 group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] eligens group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus","Bacteria_Bacillota_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group","Total"
"S7-764-1",8,28,6,3,0,8,33,0,0,1,37,317,25,3,43,0,1,12,5,73,0,136,0,0,0,0,2,3,0,0,13,0,0,251,9,48,7,950,6189,50,8261
"S7-764-2",5,41,7,1,0,13,26,0,0,3,58,124,29,15,45,0,1,14,7,66,2,104,0,0,0,0,3,2,0,1,13,0,0,164,22,24,7,572,7323,45,8737
"S7-A554-1",6,17,3,2,0,1,40,0,0,2,35,344,33,1,23,0,1,12,3,106,2,229,0,1,0,0,5,0,0,1,9,0,1,181,2,75,8,1132,6379,48,8702
"S7-A554-2",3,12,5,1,0,3,15,0,0,1,34,412,15,1,35,0,0,13,7,123,6,205,0,1,0,1,2,0,0,0,17,0,1,190,0,31,7,1133,5982,24,8280
"S7-B57-1",16,34,6,0,0,21,34,0,2,4,40,183,32,12,28,2,0,11,6,67,3,221,0,5,0,1,7,0,0,1,10,0,0,234,9,42,15,1312,6450,44,8852
"S7-B57-2",6,11,3,0,0,14,13,0,1,3,33,262,19,12,37,0,0,9,4,84,2,222,0,1,0,1,6,0,0,0,21,0,0,176,3,44,4,1283,6638,33,8945
"S7-FBB0-1",56,228,24,7,0,276,141,2,3,36,87,1216,137,445,381,17,0,107,32,186,10,488,1,5,0,17,36,0,1,10,37,2,4,9,32,365,115,26,1584,442,6565
"S7-FBB0-2",58,156,30,12,0,256,104,1,4,75,150,984,122,302,385,22,1,91,22,273,8,488,1,8,0,12,26,0,1,15,49,1,2,19,22,283,117,26,1718,435,6279
"S7-HP301-1",8,22,6,1,0,12,27,0,0,2,37,210,18,3,32,0,0,19,3,69,1,210,0,0,0,0,4,1,0,0,12,0,0,201,10,31,3,1444,6392,41,8819
"S7-HP301-2",3,22,8,0,0,4,18,0,0,3,34,224,22,8,36,0,0,7,4,54,3,193,0,0,0,1,8,0,0,0,8,0,1,163,4,22,9,1668,6261,24,8812
"S7-LH60-1",10,26,3,2,0,6,31,0,0,0,22,327,20,2,33,0,2,17,4,71,2,208,0,1,0,0,8,0,0,1,10,0,0,194,4,30,13,1395,6496,32,8970
"S7-LH60-2",11,12,4,0,0,6,26,0,0,2,23,349,9,4,23,0,1,11,4,55,0,200,0,0,0,0,4,0,0,1,18,0,0,170,2,29,8,1044,6964,39,9019
"S7-NC262-1",6,26,3,0,0,8,32,0,0,1,37,382,32,1,23,1,2,11,6,79,2,205,0,0,0,0,9,0,0,1,11,0,0,204,4,26,5,1531,6220,26,8894
"S7-NC262-2",6,18,5,3,0,5,19,0,0,0,36,283,11,6,27,0,2,10,4,66,2,117,0,0,0,0,10,0,0,0,14,0,0,226,3,23,6,1697,6233,38,8870
"S7-PHG35-1",11,28,5,0,1,14,33,0,0,1,63,208,26,10,39,0,0,13,4,53,1,219,0,1,1,1,10,0,0,1,9,0,0,220,12,50,6,1245,5899,43,8227
"S7-PHG35-2",3,16,9,1,1,5,26,0,0,1,38,288,19,5,26,0,0,9,5,67,0,205,0,1,1,0,9,0,0,0,3,0,0,168,4,39,14,1288,6891,35,9177
"S7-PHG39-1",7,14,10,0,0,9,18,0,0,2,28,247,19,4,28,0,0,18,5,94,3,237,0,1,0,0,14,0,0,1,8,0,0,236,5,39,12,1392,6140,39,8630
"S7-PHG39-2",6,18,3,1,0,7,25,0,0,1,28,128,22,8,20,0,0,5,3,60,4,233,0,2,0,0,12,0,0,0,13,0,0,154,6,37,5,1829,5425,23,8078
"S7-PHG47-1",8,28,8,2,0,12,39,0,0,3,36,134,26,4,37,4,0,9,3,67,1,205,0,0,0,0,10,0,0,0,9,0,0,196,11,49,9,1099,7325,42,9376
