"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Blautia","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Mediterraneibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] ventriosum group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Ruminococcus] gnavus group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Anaerobutyricum","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Gemmiger","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_[Eubacterium] siraeum group","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Acutalibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Enterocloster","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae UCG-010","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003","Bacteria_Bacillota_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus","Bacteria_Bacillota_Bacilli_Erysipelotrichales_Erysipelatoclostridiaceae_Thomasclavelia","Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Selenomonadaceae_Megamonas","Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Veillonella","Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella","Bacteria_Actinomycetota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Pasteurellaceae_Haemophilus","Bacteria_Pseudomonadota_Gammaproteobacteria_Burkholderiales_Sutterellaceae_Parasutterella","Bacteria_Pseudomonadota_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_Achromobacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae ND3007 group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] eligens group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus","Bacteria_Bacillota_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group","Total"
"S9-764-1",212,36,24,10,14,0,3,4,59,4,0,0,14,44,13,2,0,13,59,0,23,0,355,0,5,42,1064,5439,3597,6,11042
"S9-764-2",289,83,28,14,15,1,1,9,31,11,0,0,8,26,7,4,5,10,96,0,63,1,299,0,8,31,1069,5806,3530,14,11459
"S9-A554-1",48,52,22,23,7,2,1,6,71,3,0,2,14,82,9,9,3,17,72,0,39,0,335,0,3,115,1233,6102,2878,9,11157
"S9-A554-2",72,34,14,27,17,1,1,5,106,3,0,0,22,92,25,4,1,13,42,1,30,0,379,0,2,109,906,5736,3139,9,10790
"S9-B57-1",60,49,21,13,3,3,6,1,46,5,0,0,28,107,25,3,2,6,51,0,27,1,369,0,3,57,1776,6129,2403,6,11200
"S9-B57-2",94,49,18,14,14,3,1,10,69,11,0,0,19,75,17,2,1,13,39,2,35,1,369,0,3,36,1076,6197,2620,3,10791
"S9-FBB0-1",344,163,103,55,97,9,24,36,447,75,0,8,51,229,52,37,1,243,138,0,190,3,495,4,18,477,19,1160,5911,59,10448
"S9-FBB0-2",283,160,81,62,120,7,22,49,425,90,0,8,63,237,61,34,1,198,113,0,208,4,505,2,11,564,35,1159,5682,49,10233
"S9-HP301-1",149,89,21,13,6,0,3,4,50,2,0,1,20,53,6,7,3,11,71,0,52,1,267,2,1,29,1141,6016,2997,10,11025
"S9-HP301-2",117,46,23,11,13,3,2,0,55,5,0,0,9,67,13,4,0,4,53,0,39,0,393,0,3,31,1262,6558,2500,11,11222
"S9-LH60-1",74,53,20,49,10,2,0,6,146,3,1,0,29,87,28,2,5,17,36,0,34,1,500,0,2,56,699,5571,3031,5,10467
"S9-LH60-2",149,43,36,18,8,2,0,5,50,3,0,0,19,65,9,9,5,9,31,0,46,0,404,0,4,39,1000,6100,2859,6,10919
"S9-NC262-1",99,45,49,18,14,0,3,5,41,4,2,0,11,11,8,5,4,26,73,0,57,0,505,0,3,70,467,6462,3187,12,11181
"S9-NC262-2",79,42,27,20,16,0,4,6,58,7,1,3,9,70,6,4,2,21,74,0,47,0,428,0,4,41,901,6088,2858,5,10821
"S9-PHG35-1",142,84,34,4,7,0,4,4,31,8,0,0,14,27,5,8,3,9,73,0,34,1,274,0,5,32,1219,6129,3215,11,11377
"S9-PHG35-2",171,46,23,13,11,1,6,3,67,8,0,0,11,33,10,3,6,11,65,1,42,0,326,0,5,31,1099,6454,2827,10,11283
"S9-PHG39-1",85,31,19,14,10,0,2,5,63,6,0,1,5,59,22,8,3,18,49,0,30,0,390,0,3,29,801,6462,3017,8,11140
"S9-PHG39-2",85,37,27,22,17,2,2,3,78,4,0,0,21,88,17,7,1,9,50,1,53,2,398,0,3,59,872,5977,2761,12,10608
"S9-PHG47-1",209,101,30,17,21,1,0,8,66,9,0,1,17,13,2,6,12,9,46,3,41,0,291,0,1,33,973,6026,3524,23,11483
"S9-PHG47-2",191,72,29,11,16,1,3,15,22,6,0,0,6,17,6,4,12,10,86,3,48,0,236,0,2,36,1159,6323,3275,11,11600
