Sample_Name,Ruminococcus,[Eubacterium] xylanophilum group,Monoglobus,Microbiome,Seed_Type,Rep
S19-764-1,29,0,4,S19,764,1
S19-764-2,32,1,5,S19,764,2
S22-764-1,41,0,5,S22,764,1
S22-764-2,18,1,7,S22,764,2
S24-764-1,273,6,18,S24,764,1
S24-764-2,219,3,19,S24,764,2
S3-764-1,9,0,8,S3,764,1
S3-764-2,9,0,6,S3,764,2
S19-A554-1,25,3,3,S19,A554,1
S19-A554-2,28,0,4,S19,A554,2
S22-A554-1,25,0,3,S22,A554,1
S22-A554-2,32,0,3,S22,A554,2
S24-A554-1,319,3,17,S24,A554,1
S24-A554-2,211,4,15,S24,A554,2
S3-A554-1,6,2,5,S3,A554,1
S3-A554-2,9,2,3,S3,A554,2
S19-B57-1,52,0,8,S19,B57,1
S19-B57-2,54,1,7,S19,B57,2
S22-B57-1,54,0,5,S22,B57,1
S22-B57-2,36,0,4,S22,B57,2
S24-B57-1,292,3,23,S24,B57,1
S24-B57-2,234,6,17,S24,B57,2
S3-B57-1,10,1,8,S3,B57,1
S3-B57-2,8,0,1,S3,B57,2
S19-HP301-1,43,1,0,S19,HP301,1
S19-HP301-2,77,0,6,S19,HP301,2
S22-HP301-1,46,0,2,S22,HP301,1
S22-HP301-2,30,0,3,S22,HP301,2
S24-HP301-1,303,9,32,S24,HP301,1
S24-HP301-2,218,5,13,S24,HP301,2
S3-HP301-1,13,0,7,S3,HP301,1
S3-HP301-2,8,1,10,S3,HP301,2
S19-LH60-1,23,0,3,S19,LH60,1
S19-LH60-2,44,2,7,S19,LH60,2
S22-LH60-1,34,1,5,S22,LH60,1
S22-LH60-2,26,0,2,S22,LH60,2
S24-LH60-1,311,23,57,S24,LH60,1
S24-LH60-2,243,8,24,S24,LH60,2
S3-LH60-1,12,1,9,S3,LH60,1
S3-LH60-2,21,0,11,S3,LH60,2
S19-NC262-1,33,1,2,S19,NC262,1
S19-NC262-2,40,1,11,S19,NC262,2
S22-NC262-1,43,1,8,S22,NC262,1
S22-NC262-2,27,0,4,S22,NC262,2
S24-NC262-1,258,2,18,S24,NC262,1
S24-NC262-2,146,2,12,S24,NC262,2
S3-NC262-1,14,0,6,S3,NC262,1
S3-NC262-2,13,0,5,S3,NC262,2
S19-PHG35-1,24,3,5,S19,PHG35,1
S19-PHG35-2,41,1,3,S19,PHG35,2
S22-PHG35-1,14,0,8,S22,PHG35,1
S22-PHG35-2,22,0,1,S22,PHG35,2
S24-PHG35-1,350,3,24,S24,PHG35,1
S24-PHG35-2,238,1,10,S24,PHG35,2
S3-PHG35-1,6,0,9,S3,PHG35,1
S3-PHG35-2,15,0,12,S3,PHG35,2
S19-PHG39-1,42,2,2,S19,PHG39,1
S19-PHG39-2,54,1,2,S19,PHG39,2
S22-PHG39-1,35,0,2,S22,PHG39,1
S22-PHG39-2,21,0,7,S22,PHG39,2
S24-PHG39-1,279,2,20,S24,PHG39,1
S24-PHG39-2,263,0,20,S24,PHG39,2
S3-PHG39-1,12,0,4,S3,PHG39,1
S3-PHG39-2,9,0,5,S3,PHG39,2
S19-PHG47-1,66,0,16,S19,PHG47,1
S19-PHG47-2,25,2,7,S19,PHG47,2
S22-PHG47-1,49,0,4,S22,PHG47,1
S22-PHG47-2,36,0,7,S22,PHG47,2
S24-PHG47-1,234,16,16,S24,PHG47,1
S24-PHG47-2,295,4,15,S24,PHG47,2
