"","Microbiome","Seed_Type","Ruminococcus","X.Eubacterium..xylanophilum.group","Monoglobus","Rep"
"1","S19","764",30.5,0.5,4.5,1.5
"2","S19","A554",26.5,1.5,3.5,1.5
"3","S19","B57",53,0.5,7.5,1.5
"4","S19","FBB0",190,9,40.5,1.5
"5","S19","HP301",60,0.5,3,1.5
"6","S19","LH60",33.5,1,5,1.5
"7","S19","NC262",36.5,1,6.5,1.5
"8","S19","PHG35",32.5,2,4,1.5
"9","S19","PHG39",48,1.5,2,1.5
"10","S19","PHG47",45.5,1,11.5,1.5
"11","S22","764",29.5,0.5,6,1.5
"12","S22","A554",28.5,0,3,1.5
"13","S22","B57",45,0,4.5,1.5
"14","S22","FBB0",413,17,26.5,1.5
"15","S22","HP301",38,0,2.5,1.5
"16","S22","LH60",30,0.5,3.5,1.5
"17","S22","NC262",35,0.5,6,1.5
"18","S22","PHG35",18,0,4.5,1.5
"19","S22","PHG39",28,0,4.5,1.5
"20","S22","PHG47",42.5,0,5.5,1.5
"21","S24","764",246,4.5,18.5,1.5
"22","S24","A554",265,3.5,16,1.5
"23","S24","B57",263,4.5,20,1.5
"24","S24","FBB0",427.5,149,129.5,1.5
"25","S24","HP301",260.5,7,22.5,1.5
"26","S24","LH60",277,15.5,40.5,1.5
"27","S24","NC262",202,2,15,1.5
"28","S24","PHG35",294,2,17,1.5
"29","S24","PHG39",271,1,20,1.5
"30","S24","PHG47",264.5,10,15.5,1.5
"31","S3","764",9,0,7,1.5
"32","S3","A554",7.5,2,4,1.5
"33","S3","B57",9,0.5,4.5,1.5
"34","S3","FBB0",54.5,0.5,32,1.5
"35","S3","HP301",10.5,0.5,8.5,1.5
"36","S3","LH60",16.5,0.5,10,1.5
"37","S3","NC262",13.5,0,5.5,1.5
"38","S3","PHG35",10.5,0,10.5,1.5
"39","S3","PHG39",10.5,0,4.5,1.5
