Microbiome,Seed_Type,Ruminococcus,X.Eubacterium..xylanophilum.group,Monoglobus
S19,764,30.5,0.5,4.5
S19,A554,26.5,1.5,3.5
S19,B57,53,0.5,7.5
S19,HP301,60,0.5,3
S19,LH60,33.5,1,5
S19,NC262,36.5,1,6.5
S19,PHG35,32.5,2,4
S19,PHG39,48,1.5,2
S19,PHG47,45.5,1,11.5
S22,764,29.5,0.5,6
S22,A554,28.5,0,3
S22,B57,45,0,4.5
S22,HP301,38,0,2.5
S22,LH60,30,0.5,3.5
S22,NC262,35,0.5,6
S22,PHG35,18,0,4.5
S22,PHG39,28,0,4.5
S22,PHG47,42.5,0,5.5
S24,764,246,4.5,18.5
S24,A554,265,3.5,16
S24,B57,263,4.5,20
S24,HP301,260.5,7,22.5
S24,LH60,277,15.5,40.5
S24,NC262,202,2,15
S24,PHG35,294,2,17
S24,PHG39,271,1,20
S24,PHG47,264.5,10,15.5
S3,764,9,0,7
S3,A554,7.5,2,4
S3,B57,9,0.5,4.5
S3,HP301,10.5,0.5,8.5
S3,LH60,16.5,0.5,10
S3,NC262,13.5,0,5.5
S3,PHG35,10.5,0,10.5
S3,PHG39,10.5,0,4.5
