"","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214 group","Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Gordonibacter","Total"
"S12-764-2",1,1,2
"S12-764-1",1,1,2
"S12-A554-2",1,1,2
"S12-A554-1",1,1,2
"S12-B57-2",1,1,2
"S12-B57-1",1,1,2
"S12-HP301-2",1,1,2
"S12-HP301-1",1,1,2
"S12-LH60-2",1,1,2
"S12-LH60-1",1,1,2
"S12-NC262-2",1,101,102
"S12-NC262-1",1,101,102
"S12-PHG35-2",1,1,2
"S12-PHG35-1",1,1,2
"S12-PHG39-2",201,1,202
"S12-PHG39-1",201,1,202
"S12-PHG47-2",1,1,2
"S12-PHG47-1",1,1,2
