"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lactonifactor","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Papillibacter","Bacteria_Bacillota_Bacilli_Erysipelotrichales_Erysipelotrichaceae_Faecalitalea","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_[Eubacterium] brachy group","Bacteria_Calditrichota_Calditrichia_Calditrichales_Calditrichaceae_JdFR-76","Total"
"S15-764-2",1,1,1,0.0099009900990099,1,4.00990099009901
"S15-764-1",1,1,1,0.0099009900990099,1,4.00990099009901
"S15-A554-2",1,1,1,0.0099009900990099,1,4.00990099009901
"S15-A554-1",1,1,1,0.0099009900990099,1,4.00990099009901
"S15-B57-2",1,1,1,0.0099009900990099,1,4.00990099009901
"S15-B57-1",1,1,1,0.0099009900990099,1,4.00990099009901
"S15-HP301-2",1,1,1,0.0099009900990099,1,4.00990099009901
"S15-HP301-1",1,1,1,0.0099009900990099,1,4.00990099009901
"S15-LH60-2",101,201,201,1,1,505
"S15-NC262-2",1,1,1,0.0099009900990099,1,4.00990099009901
"S15-NC262-1",1,1,1,0.0099009900990099,1,4.00990099009901
"S15-PHG35-2",101,1,1,0.0099009900990099,101,204.009900990099
"S15-PHG39-2",1,1,1,0.0099009900990099,1,4.00990099009901
"S15-PHG39-1",1,1,1,0.0099009900990099,1,4.00990099009901
"S15-PHG47-2",1,1,1,0.0099009900990099,1,4.00990099009901
"S15-PHG47-1",1,1,1,0.0099009900990099,1,4.00990099009901
