"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Oribacterium","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Papillibacter","Bacteria_Bacillota_Bacilli_Lactobacillales_Lactobacillaceae_Ligilactobacillus","Bacteria_Bacillota_Bacilli_Staphylococcales_Gemellaceae_Gemella","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Kineothrix","Bacteria_Bacillota_Clostridia_Eubacteriales_Anaerofustaceae_Anaerofustis","Bacteria_Cyanobacteriota_Vampirivibrionia_Gastranaerophilales_Gastranaerophilaceae_Zag_111","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides","Total"
"S20-764-2",1,0.0099009900990099,1,1,1,1,1,2.05765162878351,8.06755261888252
"S20-764-1",1,0.0099009900990099,1,1,1,1,1,2.07900072162469,8.0889017117237
"S20-A554-1",1,0.0099009900990099,1,1,1,1,1,2.56008384591595,8.56998483601496
"S20-A554-2",1,0.0099009900990099,1,1,1,1,1,2.64609053497942,8.65599152507843
"S20-B57-1",1,0.0099009900990099,1,1,1,1,1,3.40197931342566,9.41188030352466
"S20-B57-2",1,0.0099009900990099,1,1,1,1,1,3.36913964847506,9.37904063857407
"S20-HP301-1",1,0.0099009900990099,1,1,1,1,1,2.70784509123398,8.71774608133299
"S20-HP301-2",1,0.0099009900990099,1,1,1,1,1,2.88069689627322,8.89059788637223
"S20-LH60-2",101,3.97029702970297,101,301,1,1,201,2.36533210261144,712.335629132314
"S20-NC262-2",1,0.0099009900990099,1,1,1,1,1,2.81916080150763,8.82906179160664
"S20-NC262-1",1,0.0099009900990099,1,1,1,1,1,2.31266966770901,8.32257065780802
"S20-PHG35-2",1,0.0099009900990099,1,1,101,101,301,2.46148225068267,508.471383240782
"S20-PHG39-2",1,0.0099009900990099,1,1,1,1,1,2.88454290219607,8.89444389229508
"S20-PHG39-1",1,0.0099009900990099,1,1,1,1,1,2.6631730868355,8.67307407693451
"S20-PHG47-2",1,0.0099009900990099,1,1,1,1,1,1.60766893581016,7.61756992590917
"S20-PHG47-1",1,0.0099009900990099,1,1,1,1,1,1.66320744991581,7.67310844001482
