"","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Paeniclostridium","Total"
"S3-764-2",16901,16901
"S3-764-1",14901,14901
"S3-A554-2",10501,10501
"S3-A554-1",201,201
"S3-B57-2",1,1
"S3-B57-1",1601,1601
"S3-HP301-2",32101,32101
"S3-HP301-1",40001,40001
"S3-LH60-2",401,401
"S3-LH60-1",3501,3501
"S3-NC262-2",4801,4801
"S3-NC262-1",1601,1601
"S3-PHG35-2",22201,22201
"S3-PHG35-1",28501,28501
"S3-PHG39-2",16101,16101
"S3-PHG39-1",21101,21101
"S3-PHG47-2",21001,21001
"S3-PHG47-1",28301,28301
