"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Oribacterium","Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Paraclostridium","Total"
"S7-764-1",1,1,2
"S7-764-2",1,1,2
"S7-A554-1",1,1,2
"S7-A554-2",1,1,2
"S7-B57-1",1,1,2
"S7-B57-2",1,1,2
"S7-HP301-1",1,1,2
"S7-HP301-2",1,1,2
"S7-LH60-1",1,1,2
"S7-LH60-2",1,1,2
"S7-NC262-1",1,1,2
"S7-NC262-2",1,1,2
"S7-PHG35-1",101,101,202
"S7-PHG35-2",101,101,202
"S7-PHG39-1",1,1,2
"S7-PHG39-2",1,1,2
"S7-PHG47-1",1,1,2
"S7-PHG47-2",1,1,2
