Sample_Name,Microbiome,Sample,Rep,fq1,fq2
S12-764-2,S12,764,2,S12-764-2_L001_R1_001.fastq.gz,S12-764-2_L001_R2_001.fastq.gz
S3-764-2,S3,764,2,S3-764-2_L001_R1_001.fastq.gz,S3-764-2_L001_R2_001.fastq.gz
S6-764-2,S6,764,2,S6-764-2_L001_R1_001.fastq.gz,S6-764-2_L001_R2_001.fastq.gz
S15-764-2,S15,764,2,S15-764-2_L001_R1_001.fastq.gz,S15-764-2_L001_R2_001.fastq.gz
S9-764-1,S9,764,1,S9-764-1_L001_R1_001.fastq.gz,S9-764-1_L001_R2_001.fastq.gz
S2-764-1,S2,764,1,S2-764-1_L001_R1_001.fastq.gz,S2-764-1_L001_R2_001.fastq.gz
S18-764-1,S18,764,1,S18-764-1_L001_R1_001.fastq.gz,S18-764-1_L001_R2_001.fastq.gz
S19-764-2,S19,764,2,S19-764-2_L001_R1_001.fastq.gz,S19-764-2_L001_R2_001.fastq.gz
S12-764-1,S12,764,1,S12-764-1_L001_R1_001.fastq.gz,S12-764-1_L001_R2_001.fastq.gz
S22-764-1,S22,764,1,S22-764-1_L001_R1_001.fastq.gz,S22-764-1_L001_R2_001.fastq.gz
S16-764-2,S16,764,2,S16-764-2_L001_R1_001.fastq.gz,S16-764-2_L001_R2_001.fastq.gz
S24-764-1,S24,764,1,S24-764-1_L001_R1_001.fastq.gz,S24-764-1_L001_R2_001.fastq.gz
S14-764-1,S14,764,1,S14-764-1_L001_R1_001.fastq.gz,S14-764-1_L001_R2_001.fastq.gz
S7-764-1,S7,764,1,S7-764-1_L001_R1_001.fastq.gz,S7-764-1_L001_R2_001.fastq.gz
S4-764-1,S4,764,1,S4-764-1_L001_R1_001.fastq.gz,S4-764-1_L001_R2_001.fastq.gz
S9-764-2,S9,764,2,S9-764-2_L001_R1_001.fastq.gz,S9-764-2_L001_R2_001.fastq.gz
S3-764-1,S3,764,1,S3-764-1_L001_R1_001.fastq.gz,S3-764-1_L001_R2_001.fastq.gz
S15-764-1,S15,764,1,S15-764-1_L001_R1_001.fastq.gz,S15-764-1_L001_R2_001.fastq.gz
S5-764-2,S5,764,2,S5-764-2_L001_R1_001.fastq.gz,S5-764-2_L001_R2_001.fastq.gz
S21-764-2,S21,764,2,S21-764-2_L001_R1_001.fastq.gz,S21-764-2_L001_R2_001.fastq.gz
S22-764-2,S22,764,2,S22-764-2_L001_R1_001.fastq.gz,S22-764-2_L001_R2_001.fastq.gz
S4-764-2,S4,764,2,S4-764-2_L001_R1_001.fastq.gz,S4-764-2_L001_R2_001.fastq.gz
S17-764-1,S17,764,1,S17-764-1_L001_R1_001.fastq.gz,S17-764-1_L001_R2_001.fastq.gz
S14-764-2,S14,764,2,S14-764-2_L001_R1_001.fastq.gz,S14-764-2_L001_R2_001.fastq.gz
S20-764-2,S20,764,2,S20-764-2_L001_R1_001.fastq.gz,S20-764-2_L001_R2_001.fastq.gz
S24-764-2,S24,764,2,S24-764-2_L001_R1_001.fastq.gz,S24-764-2_L001_R2_001.fastq.gz
S18-764-2,S18,764,2,S18-764-2_L001_R1_001.fastq.gz,S18-764-2_L001_R2_001.fastq.gz
S1-764-1,S1,764,1,S1-764-1_L001_R1_001.fastq.gz,S1-764-1_L001_R2_001.fastq.gz
S20-764-1,S20,764,1,S20-764-1_L001_R1_001.fastq.gz,S20-764-1_L001_R2_001.fastq.gz
S5-764-1,S5,764,1,S5-764-1_L001_R1_001.fastq.gz,S5-764-1_L001_R2_001.fastq.gz
S1-764-2,S1,764,2,S1-764-2_L001_R1_001.fastq.gz,S1-764-2_L001_R2_001.fastq.gz
S19-764-1,S19,764,1,S19-764-1_L001_R1_001.fastq.gz,S19-764-1_L001_R2_001.fastq.gz
S16-764-1,S16,764,1,S16-764-1_L001_R1_001.fastq.gz,S16-764-1_L001_R2_001.fastq.gz
S6-764-1,S6,764,1,S6-764-1_L001_R1_001.fastq.gz,S6-764-1_L001_R2_001.fastq.gz
S2-764-2,S2,764,2,S2-764-2_L001_R1_001.fastq.gz,S2-764-2_L001_R2_001.fastq.gz
S21-764-1,S21,764,1,S21-764-1_L001_R1_001.fastq.gz,S21-764-1_L001_R2_001.fastq.gz
S17-764-2,S17,764,2,S17-764-2_L001_R1_001.fastq.gz,S17-764-2_L001_R2_001.fastq.gz
S7-764-2,S7,764,2,S7-764-2_L001_R1_001.fastq.gz,S7-764-2_L001_R2_001.fastq.gz
S12-A554-2,S12,A554,2,S12-A554-2_L001_R1_001.fastq.gz,S12-A554-2_L001_R2_001.fastq.gz
S6-A554-2,S6,A554,2,S6-A554-2_L001_R1_001.fastq.gz,S6-A554-2_L001_R2_001.fastq.gz
S3-A554-2,S3,A554,2,S3-A554-2_L001_R1_001.fastq.gz,S3-A554-2_L001_R2_001.fastq.gz
S15-A554-2,S15,A554,2,S15-A554-2_L001_R1_001.fastq.gz,S15-A554-2_L001_R2_001.fastq.gz
S9-A554-1,S9,A554,1,S9-A554-1_L001_R1_001.fastq.gz,S9-A554-1_L001_R2_001.fastq.gz
