"","means.CFU","means.std","means.r","means.se","means.Min","means.Max","means.Q25","means.Q50","means.Q75"
"764:S1",770683.494964985,298850.279413761,4,416914.211785768,499082.130074689,1142578.87576272,545605.457038643,720536.487011268,945614.52493761
"764:S12",56461.034029757,32670.3162038218,4,416914.211785768,25838.950929441,89504.7601104556,29761.0642260932,55250.2125395657,81950.1823432295
"764:S14",111741.452265799,78742.7595087094,4,416914.211785768,43078.5075746412,187358.018638716,44107.1031124267,108264.641424919,175898.990578291
"764:S15",190781.207609566,126960.139872625,4,416914.211785768,58018.0743621205,332319.329493641,99547.1281778644,186393.713291251,277627.792722953
"764:S16",66273.0725731745,43960.9234768113,4,416914.211785768,28028.3905641778,114154.2056478,29404.8843031271,61454.8470403601,98323.0353104076
"764:S17",14048.5118896967,10889.9935420986,4,416914.211785768,3710.02706345005,27489.853364706,6077.3435830327,12497.0835653154,20468.2518719794
"764:S18",120309.299505879,82716.5480837396,4,416914.211785768,43955.2195059532,205674.588705206,52318.6676332115,115803.694906178,183794.326778845
"764:S19",712383.04174353,588928.968439224,4,416914.211785768,226456.743265388,1453984.48863426,245300.300734511,584545.467537238,1051628.20854626
"764:S2",809959.652254364,183434.334075743,4,416914.211785768,629913.430180688,1060423.90262896,708001.815928745,774750.638103905,876708.474429524
"764:S20",3061938.65549905,1176060.40277819,4,416914.211785768,1920598.99545333,4463054.6446007,2190296.30213667,2932050.49097108,3803692.84433346
"764:S21",111031.432808799,79657.0800170636,4,416914.211785768,41656.0074308898,200671.839821299,45070.4613880344,100898.941991505,166859.91341227
"764:S22",102019.52729839,87035.4156909328,4,416914.211785768,31045.2609721376,213174.790514743,33532.2200005117,81929.02885334,150416.336151218
"764:S24",119094.141462994,64045.4003913422,4,416914.211785768,59243.0189212323,192028.853966038,68675.8812574833,112552.346482353,162970.606687864
"764:S3",1161759.02003692,440123.607834673,4,416914.211785768,801593.987157979,1721071.34866893,814287.1203408,1062185.37216037,1409657.27185649
"764:S4",416.425415240326,NA,1,833828.423571537,416.425415240326,416.425415240326,416.425415240326,416.425415240326,416.425415240326
"764:S5",119994.593604404,35987.5328793497,4,416914.211785768,84507.0590044945,152827.687982494,91276.7103706465,121321.813715313,150039.69694907
"764:S6",339131.463311216,330093.114425959,4,416914.211785768,47822.2498246856,644654.382338415,56553.9111551851,332024.61054088,614602.162696911
"764:S7",394723.236259398,265959.865766386,4,416914.211785768,162592.155702378,653859.155045036,166756.393572088,381220.81714509,609187.6598324
"764:S9",4449816.7983348,2528417.58798652,4,416914.211785768,2226393.51225739,7706356.87050162,2573348.52244265,3933258.40529009,5809726.68118224
"A554:S1",497771.933861423,95468.9382965533,4,416914.211785768,387248.104887621,615050.434517029,448119.673511524,494394.59802052,544046.858370419
"A554:S12",15269.0433881585,6759.70458698724,4,416914.211785768,5217.65806459229,19663.7534813186,14421.8577534264,18097.3810033615,18944.5666380936
"A554:S14",126681.199830803,90305.9003652096,4,416914.211785768,48360.5249214279,218326.263969941,49487.3245359331,120019.005215921,197212.88051079
"A554:S15",48729.341785455,35647.2592757734,4,416914.211785768,17141.0777971579,81351.5027778284,18261.6550243755,48212.3932834169,78680.0800444965
"A554:S16",34016.6075477511,10786.4670343258,4,416914.211785768,23397.7442762085,47008.5079632425,26206.9410957011,32830.0889757767,40639.7554278266
"A554:S17",51350.6256930173,43919.6986707409,4,416914.211785768,10808.4851722949,101990.055110685,16699.3805583166,46301.9812445445,80953.2263792452
"A554:S18",114364.612945539,20423.3597682501,4,416914.211785768,93393.7774979844,142262.89044756,104910.626491963,110900.891918305,120354.87837188
"A554:S19",501765.587670249,231182.195047631,4,416914.211785768,265269.563778391,719927.608645845,323299.924207933,510932.589128379,689398.252590695
"A554:S2",473637.030397721,52620.9698831453,4,416914.211785768,422891.723807289,538953.0108765,435932.806538437,466351.693453547,504055.917312831
"A554:S20",1312286.51828751,746946.552753296,4,416914.211785768,832066.030060596,2411443.42602057,849535.51358698,1002818.30853443,1465569.31323496
"A554:S21",86355.0322154903,69844.0806194625,4,416914.211785768,28556.1616072475,178887.560709567,34413.6626432904,68988.2032725734,120929.572844773
"A554:S22",37164.8278134626,21253.9601842792,4,416914.211785768,17832.5589145028,66457.4191538849,24040.8625138467,32184.6665927314,45308.6318923473
"A554:S24",60675.5550607358,14615.7116989056,4,416914.211785768,39981.0289606816,74328.1792927474,57513.947136852,64196.5059947571,67358.1139186409
"A554:S3",93816.1975566462,75355.7750436055,4,416914.211785768,28154.1591653759,162470.876083827,28826.402567435,92319.8774886907,157309.672477902
"A554:S5",90619.2458696346,66319.974525494,4,416914.211785768,29421.3437285672,155937.959554854,35624.5641304271,88558.8400975583,143553.521836766
"A554:S6",257045.007831675,208714.934344496,4,416914.211785768,67255.6138263539,440608.489759037,81003.3139328343,260157.963870655,436199.657769496
"A554:S7",176705.830023342,68949.4425933814,4,416914.211785768,97451.7742361291,264281.698391073,144949.765695987,172544.923733082,204300.988060437
"A554:S9",5005272.16788191,1014316.12744666,4,416914.211785768,4086884.07891167,6342605.16129653,4297356.22334245,4795799.71565972,5503715.66019918
"B57:S1",489013.027853281,155444.003239655,4,416914.211785768,340858.300911909,677197.505153744,373491.510456675,468998.152673736,584519.670070343
"B57:S12",32722.2048337492,5291.75282463656,4,416914.211785768,27224.4775743747,39891.6285592793,30194.5445175453,31886.3566006714,34414.0169168752
"B57:S14",133329.327692126,89217.2950650683,4,416914.211785768,49344.7337900769,231756.182614239,62440.2762116332,126108.197182093,196997.248662586
"B57:S15",82518.8608226525,13420.8333990224,4,416914.211785768,67456.655959418,96151.6071273056,73321.9565905932,83233.5901019431,92430.4943340025
"B57:S16",29512.5279738969,24327.2444063053,4,416914.211785768,8417.87449307607,56018.5895415309,9076.58450511778,26806.8239304904,47242.7673992695
"B57:S17",10161.4825206095,1841.71161874684,4,416914.211785768,7918.24558045632,11989.7497643152,9061.79096103501,10368.9673688332,11468.6589284077
"B57:S18",151973.581592123,32199.1504264268,4,416914.211785768,107860.601528003,180361.931337893,138714.507803837,159835.896751297,173094.970539583
"B57:S19",607950.604945734,422815.487792483,4,416914.211785768,266459.877646055,1182478.5303013,302641.046644129,491432.005917789,796741.564219394
"B57:S2",545709.876095412,338315.245954486,4,416914.211785768,224941.017829346,897198.50388124,273013.836357029,530349.991335531,803046.031073913
"B57:S20",2717940.51074211,1279613.54977976,4,416914.211785768,1598513.32038055,4035368.35093222,1632074.60170706,2618940.18582784,3704806.0948629
"B57:S21",584709.5483996,924196.68384241,3,481411.064806988,46659.0399773121,1651867.46590375,51130.589647522,55602.1393177318,853734.802610743
"B57:S22",16941.6183299858,15937.9574166987,4,416914.211785768,3085.54989128518,34335.5758694325,3578.93516814441,15172.6737796128,28535.3569414542
"B57:S24",35113.8781497741,20818.4021827627,4,416914.211785768,8461.95894750047,59198.8287774606,28060.0471977484,36397.3624370676,43451.1933890932
"B57:S3",117289.787767971,78121.1881595602,4,416914.211785768,46973.443701441,187918.073830704,51057.7459110893,117133.816769869,183365.858626751
"B57:S4",290.995161075235,50.5648872960894,2,589605.732653522,255.240386378237,326.749935772233,273.117773726736,290.995161075235,308.872548423734
"B57:S5",58190.6530795039,56175.0272578222,4,416914.211785768,9707.31693081031,120724.920432298,11239.784756167,51165.1874774538,98116.0558007907
"B57:S6",161772.323550469,78966.7216112689,4,416914.211785768,92907.2218726054,254223.453710313,97691.8895663953,149979.309309479,214059.743293552
"B57:S7",402021.314140546,149359.685580761,4,416914.211785768,249338.806963018,549101.427784869,287353.972011173,404822.510907149,519489.853036522
"B57:S9",6185240.37676977,2581401.88322775,4,416914.211785768,3684232.51828626,9690309.1043943,4667573.83517791,5683209.94219925,7200876.48379111
"FBB0:S1",428563.634216395,84315.709676005,4,416914.211785768,362636.421880997,545019.329067982,368586.03027561,403299.392958301,463276.996899087
