"","groups.CFU","groups.groups"
"PHG47:S9",8163570.20629257,"a"
"LH60:S9",7809572.35858469,"a"
"NC262:S9",6872266.82703872,"ab"
"B57:S9",6185240.37676977,"bc"
"HP301:S9",6160536.02570112,"bc"
"HP301:S6",6157875.93088528,"bc"
"PHG39:S9",6093937.64415817,"bc"
"PHG35:S9",5368295.15221501,"cd"
"A554:S9",5005272.16788191,"cde"
"764:S9",4449816.7983348,"def"
"PHG35:S20",3715669.33338482,"efg"
"LH60:S20",3428285.89354817,"fgh"
"PHG47:S20",3089626.93840121,"ghi"
"764:S20",3061938.65549905,"ghi"
"NC262:S20",2913668.46116171,"ghi"
"B57:S20",2717940.51074211,"ghij"
"FBB0:S9",2433232.83385584,"ghijk"
"HP301:S20",2323816.37212842,"ghijkl"
"PHG47:S2",2292382.6708516,"ghijkl"
"PHG47:S19",2015073.09667846,"hijklm"
"PHG39:S20",1739265.41586043,"ijklmn"
"A554:S20",1312286.51828751,"jklmno"
"764:S3",1161759.02003692,"klmno"
"PHG47:S6",920455.887739557,"lmno"
"PHG39:S1",905225.422990007,"lmno"
"NC262:S19",833839.615880143,"mno"
"764:S2",809959.652254364,"mno"
"PHG35:S2",772364.399749166,"mno"
"764:S1",770683.494964985,"mno"
"HP301:S2",733189.72586185,"mno"
"764:S19",712383.04174353,"mno"
"LH60:S19",661362.2849216,"mno"
"PHG39:S19",646239.739638167,"mno"
"PHG35:S19",634568.508159369,"mno"
"LH60:S2",624915.751060377,"mno"
"B57:S19",607950.604945734,"mno"
"B57:S21",584709.5483996,"mno"
"B57:S2",545709.876095412,"mno"
"NC262:S2",534009.558258383,"mno"
"HP301:S19",532809.256623058,"mno"
"FBB0:S2",528765.050675405,"mno"
"PHG35:S6",508606.238226452,"mno"
"A554:S19",501765.587670249,"mno"
"A554:S1",497771.933861423,"mno"
"B57:S1",489013.027853281,"mno"
"A554:S2",473637.030397721,"mno"
"PHG47:S1",463630.799625878,"mno"
"FBB0:S1",428563.634216395,"no"
"PHG35:S3",404273.914565008,"no"
"B57:S7",402021.314140546,"no"
"764:S7",394723.236259398,"no"
"PHG47:S7",389146.348402654,"no"
"764:S6",339131.463311216,"no"
"LH60:S7",337025.017319599,"no"
"LH60:S1",332961.438029246,"no"
"NC262:S6",329097.502624365,"no"
"PHG39:S2",319624.553090682,"no"
"NC262:S1",309522.618021772,"no"
"PHG35:S16",309462.600522865,"no"
"PHG39:S15",301717.108807059,"no"
"HP301:S1",301273.739384382,"no"
"PHG39:S7",294339.479463531,"no"
"HP301:S15",292431.752055178,"no"
